"106年06月02日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00637L","元大滬深300正2  ","40,000","0","40,000","32,639,000","5,054,475","27,584,525","32,679,000","5,054,475","27,624,525",
="00633L","富邦上証正2     ","420,000","1,043,000","-623,000","11,009,000","1,980,707","9,028,293","11,429,000","3,023,707","8,405,293",
"2337  ","旺宏            ","5,441,000","625,000","4,816,000","0","0","0","5,441,000","625,000","4,816,000",
="00632R","元大台灣50反1   ","1,470,000","500,000","970,000","4,944,000","2,549,000","2,395,000","6,414,000","3,049,000","3,365,000",
"2313  ","華通            ","662,000","716,000","-54,000","3,427,000","229,000","3,198,000","4,089,000","945,000","3,144,000",
="00692 ","富邦公司治理    ","0","0","0","3,218,000","100,000","3,118,000","3,218,000","100,000","3,118,000",
="057861","T50反1中信73購01","220,000","0","220,000","2,980,000","220,000","2,760,000","3,200,000","220,000","2,980,000",
="058549","長華元大6A購03  ","0","0","0","3,002,000","148,000","2,854,000","3,002,000","148,000","2,854,000",
="055954","T50反1中信6C購01","0","0","0","2,801,000","74,000","2,727,000","2,801,000","74,000","2,727,000",
="059652","群創玉山6A購01  ","0","0","0","2,525,000","41,000","2,484,000","2,525,000","41,000","2,484,000",
="059003","T50反1中信74購01","0","0","0","2,440,000","0","2,440,000","2,440,000","0","2,440,000",
="055665","南亞科元大67購02","0","0","0","2,252,000","8,000","2,244,000","2,252,000","8,000","2,244,000",
="058722","華邦電國票6B購01","0","0","0","2,948,000","722,000","2,226,000","2,948,000","722,000","2,226,000",
="058834","長華元富6A購01  ","0","0","0","2,258,000","58,000","2,200,000","2,258,000","58,000","2,200,000",
="058503","劍麟元大71購02  ","0","0","0","2,556,000","401,000","2,155,000","2,556,000","401,000","2,155,000",
="056323","T50反1永昌72購01","0","0","0","2,054,000","20,000","2,034,000","2,054,000","20,000","2,034,000",
="058636","華邦電亞東6A購01","0","0","0","1,988,000","25,000","1,963,000","1,988,000","25,000","1,963,000",
="059023","華邦電統一6B購02","0","0","0","3,446,000","1,499,000","1,947,000","3,446,000","1,499,000","1,947,000",
="056176","臺股指元大69購14","0","0","0","1,895,000","0","1,895,000","1,895,000","0","1,895,000",
="059570","華邦電統一6A購06","0","0","0","2,300,000","450,000","1,850,000","2,300,000","450,000","1,850,000",
"2883  ","開發金          ","1,800,000","0","1,800,000","340,000","313,000","27,000","2,140,000","313,000","1,827,000",
="059022","美律統一6B購02  ","0","0","0","3,736,000","1,940,000","1,796,000","3,736,000","1,940,000","1,796,000",
="057920","日友元大69購01  ","0","0","0","1,821,000","72,000","1,749,000","1,821,000","72,000","1,749,000",
="058597","華邦電富邦71購02","0","0","0","1,794,000","176,000","1,618,000","1,794,000","176,000","1,618,000",
="057813","東陽凱基69購01  ","0","0","0","1,774,000","164,000","1,610,000","1,774,000","164,000","1,610,000",
="058247","華邦電永豐6A購03","0","0","0","1,825,000","230,000","1,595,000","1,825,000","230,000","1,595,000",
"1909  ","榮成            ","967,000","271,000","696,000","1,322,000","427,000","895,000","2,289,000","698,000","1,591,000",
="00648R","元大S&P500反1   ","0","0","0","2,150,000","570,000","1,580,000","2,150,000","570,000","1,580,000",
"1314  ","中石化          ","30,000","0","30,000","1,693,000","178,000","1,515,000","1,723,000","178,000","1,545,000",
"2454  ","聯發科          ","282,000","18,000","264,000","1,317,000","38,000","1,279,000","1,599,000","56,000","1,543,000",
="056105","上証2X群益67購04","0","0","0","1,556,000","27,000","1,529,000","1,556,000","27,000","1,529,000",
="058052","長華國泰69購01  ","0","0","0","1,609,000","80,000","1,529,000","1,609,000","80,000","1,529,000",
="058374","T50反1元大71購01","0","0","0","1,601,000","90,000","1,511,000","1,601,000","90,000","1,511,000",
="059519","高鐵凱基6A購01  ","0","0","0","2,192,000","719,000","1,473,000","2,192,000","719,000","1,473,000",
="058637","華邦電亞東6A購02","0","0","0","1,798,000","349,000","1,449,000","1,798,000","349,000","1,449,000",
="059566","大立光統一6B購07","0","0","0","1,541,000","92,000","1,449,000","1,541,000","92,000","1,449,000",
="058350","華邦電統一6A購02","0","0","0","1,906,000","458,000","1,448,000","1,906,000","458,000","1,448,000",
="059046","長華群益6B購05  ","0","0","0","1,521,000","81,000","1,440,000","1,521,000","81,000","1,440,000",
="060343","高鐵凱基6B購01  ","0","0","0","3,396,000","1,956,000","1,440,000","3,396,000","1,956,000","1,440,000",
="054473","聯發科元大66購07","0","0","0","1,640,000","203,000","1,437,000","1,640,000","203,000","1,437,000",
="057477","美律統一6A購01  ","0","0","0","1,588,000","156,000","1,432,000","1,588,000","156,000","1,432,000",
="058025","美律統一6A購02  ","0","0","0","1,671,000","252,000","1,419,000","1,671,000","252,000","1,419,000",
"1303  ","南亞            ","0","0","0","1,404,000","5,000","1,399,000","1,404,000","5,000","1,399,000",
="059488","群創兆豐6A購04  ","0","0","0","1,550,000","162,000","1,388,000","1,550,000","162,000","1,388,000",
="057621","聯電群益6B購01  ","0","0","0","1,522,000","156,000","1,366,000","1,522,000","156,000","1,366,000",
="054592","訊芯統一68購01  ","0","0","0","1,415,000","50,000","1,365,000","1,415,000","50,000","1,365,000",
