"106年06月20日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00632R","元大台灣50反1   ","1,050,000","2,015,000","-965,000","20,245,000","3,806,000","16,439,000","21,295,000","5,821,000","15,474,000",
="00692 ","富邦公司治理    ","0","0","0","4,668,000","75,000","4,593,000","4,668,000","75,000","4,593,000",
"2892  ","第一金          ","332,000","0","332,000","3,015,000","0","3,015,000","3,347,000","0","3,347,000",
"2885  ","元大金          ","808,000","550,000","258,000","3,269,000","308,000","2,961,000","4,077,000","858,000","3,219,000",
="00648R","元大S&P500反1   ","0","0","0","2,583,000","0","2,583,000","2,583,000","0","2,583,000",
="061056","可成元大6C購01  ","0","0","0","3,482,000","979,000","2,503,000","3,482,000","979,000","2,503,000",
="08644P","大立光統一69售09","0","0","0","2,496,000","62,000","2,434,000","2,496,000","62,000","2,434,000",
="056175","臺股指元大69購13","0","0","0","2,927,000","522,000","2,405,000","2,927,000","522,000","2,405,000",
="055437","鴻準元大69購02  ","0","0","0","4,518,000","2,140,000","2,378,000","4,518,000","2,140,000","2,378,000",
="053776","聯發科元大67購01","0","0","0","2,280,000","0","2,280,000","2,280,000","0","2,280,000",
="061204","南亞科統一6C購02","0","0","0","2,566,000","322,000","2,244,000","2,566,000","322,000","2,244,000",
="059652","群創玉山6A購01  ","0","0","0","2,619,000","400,000","2,219,000","2,619,000","400,000","2,219,000",
="055261","鴻準凱基67購02  ","0","0","0","2,084,000","7,000","2,077,000","2,084,000","7,000","2,077,000",
="055902","聯發科元大67購04","0","0","0","2,041,000","30,000","2,011,000","2,041,000","30,000","2,011,000",
="055617","國碩國泰67購01  ","0","0","0","2,000,000","0","2,000,000","2,000,000","0","2,000,000",
="056190","臺股指台新67購01","0","0","0","2,000,000","0","2,000,000","2,000,000","0","2,000,000",
"2823  ","中壽            ","2,000","0","2,000","2,232,000","245,000","1,987,000","2,234,000","245,000","1,989,000",
="058136","南亞科統一6C購01","0","0","0","3,018,000","1,046,000","1,972,000","3,018,000","1,046,000","1,972,000",
="07988P","華邦電凱基68售04","0","0","0","1,980,000","10,000","1,970,000","1,980,000","10,000","1,970,000",
="054944","南亞科群益68購02","0","0","0","1,961,000","5,000","1,956,000","1,961,000","5,000","1,956,000",
="055429","勤美元大6A購01  ","0","0","0","1,940,000","0","1,940,000","1,940,000","0","1,940,000",
="08700P","GIS國泰6B售02   ","0","0","0","1,890,000","5,000","1,885,000","1,890,000","5,000","1,885,000",
="056933","大立光統一69購06","0","0","0","2,173,000","324,000","1,849,000","2,173,000","324,000","1,849,000",
="056589","群創群益68購04  ","0","0","0","2,981,000","1,184,000","1,797,000","2,981,000","1,184,000","1,797,000",
="060281","鴻海凱基6B購03  ","0","0","0","6,296,000","4,505,000","1,791,000","6,296,000","4,505,000","1,791,000",
="054677","聯發科群益67購03","0","0","0","1,800,000","62,000","1,738,000","1,800,000","62,000","1,738,000",
="056625","群創凱基68購01  ","0","0","0","2,108,000","404,000","1,704,000","2,108,000","404,000","1,704,000",
="055176","金寶元大69購01  ","0","0","0","1,858,000","218,000","1,640,000","1,858,000","218,000","1,640,000",
="061336","聯發科統一71購03","0","0","0","1,754,000","156,000","1,598,000","1,754,000","156,000","1,598,000",
="056682","南亞科兆豐69購01","0","0","0","1,739,000","193,000","1,546,000","1,739,000","193,000","1,546,000",
