"106年06月12日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"2371  ","大同            ","4,420,000","21,000","4,399,000","22,816,000","313,000","22,503,000","27,236,000","334,000","26,902,000",
="00632R","元大台灣50反1   ","2,260,000","2,200,000","60,000","23,249,000","816,000","22,433,000","25,509,000","3,016,000","22,493,000",
="00633L","富邦上証正2     ","115,000","1,063,000","-948,000","11,516,000","4,670,000","6,846,000","11,631,000","5,733,000","5,898,000",
="0056  ","元大高股息      ","0","0","0","4,868,000","0","4,868,000","4,868,000","0","4,868,000",
="07178P","大立光兆豐67售03","0","0","0","4,512,000","0","4,512,000","4,512,000","0","4,512,000",
"2330  ","台積電          ","2,927,000","74,000","2,853,000","1,726,000","292,000","1,434,000","4,653,000","366,000","4,287,000",
"2352  ","佳世達          ","437,000","100,000","337,000","3,514,000","251,000","3,263,000","3,951,000","351,000","3,600,000",
"2891  ","中信金          ","15,000","0","15,000","3,713,000","956,000","2,757,000","3,728,000","956,000","2,772,000",
="057196","新光金兆豐68購01","0","0","0","2,571,000","0","2,571,000","2,571,000","0","2,571,000",
="057746","彩晶永豐69購01  ","0","0","0","2,735,000","333,000","2,402,000","2,735,000","333,000","2,402,000",
"8150  ","南茂            ","457,000","40,000","417,000","2,520,000","781,000","1,739,000","2,977,000","821,000","2,156,000",
="03547P","聯發科元大6B售07","0","0","0","2,389,000","456,000","1,933,000","2,389,000","456,000","1,933,000",
"3231  ","緯創            ","1,499,000","145,000","1,354,000","1,682,000","1,298,000","384,000","3,181,000","1,443,000","1,738,000",
"2884  ","玉山金          ","1,500,000","200,000","1,300,000","760,000","324,000","436,000","2,260,000","524,000","1,736,000",
="03219P","創意元富6B售01  ","0","0","0","2,091,000","424,000","1,667,000","2,091,000","424,000","1,667,000",
"2345  ","智邦            ","312,000","160,000","152,000","1,945,000","439,000","1,506,000","2,257,000","599,000","1,658,000",
="055134","敦泰元大66購02  ","0","0","0","1,598,000","1,000","1,597,000","1,598,000","1,000","1,597,000",
="03550P","台積電永昌6B售01","0","0","0","1,670,000","121,000","1,549,000","1,670,000","121,000","1,549,000",
"3481  ","群創            ","69,000","426,000","-357,000","3,363,000","1,514,000","1,849,000","3,432,000","1,940,000","1,492,000",
="08220P","台積電國泰69售02","0","0","0","1,732,000","295,000","1,437,000","1,732,000","295,000","1,437,000",
="07523P","台灣50群益67售05","0","0","0","1,431,000","0","1,431,000","1,431,000","0","1,431,000",
="057117","敦泰群益69購02  ","0","0","0","1,461,000","107,000","1,354,000","1,461,000","107,000","1,354,000",
="057775","新光金兆豐6A購01","0","0","0","1,561,000","210,000","1,351,000","1,561,000","210,000","1,351,000",
="08214P","深100元大68售02 ","0","0","0","1,340,000","0","1,340,000","1,340,000","0","1,340,000",
="07831P","台灣50富邦6B售01","0","0","0","1,330,000","20,000","1,310,000","1,330,000","20,000","1,310,000",
="058539","上銀元大6B購01  ","0","0","0","1,465,000","160,000","1,305,000","1,465,000","160,000","1,305,000",
="059985","彩晶統一6B購02  ","0","0","0","1,744,000","442,000","1,302,000","1,744,000","442,000","1,302,000",
="08084P","TPK凱基69售02   ","0","0","0","1,869,000","596,000","1,273,000","1,869,000","596,000","1,273,000",
"2888  ","新光金          ","73,000","26,000","47,000","2,234,000","1,009,000","1,225,000","2,307,000","1,035,000","1,272,000",
="03081P","GIS永豐6B售02   ","0","0","0","1,393,000","140,000","1,253,000","1,393,000","140,000","1,253,000",
="056861","臻鼎統一6A購01  ","0","0","0","1,586,000","343,000","1,243,000","1,586,000","343,000","1,243,000",
="059487","群創兆豐6A購03  ","0","0","0","1,572,000","345,000","1,227,000","1,572,000","345,000","1,227,000",
"1303  ","南亞            ","422,000","0","422,000","800,000","11,000","789,000","1,222,000","11,000","1,211,000",
="058382","敬鵬元大6A購01  ","0","0","0","1,229,000","43,000","1,186,000","1,229,000","43,000","1,186,000",
"2618  ","長榮航          ","829,000","96,000","733,000","540,000","120,000","420,000","1,369,000","216,000","1,153,000",
="03218P","台積電永昌6C售01","0","0","0","2,943,000","1,792,000","1,151,000","2,943,000","1,792,000","1,151,000",
="08578P","台積電玉山69售01","0","0","0","1,139,000","0","1,139,000","1,139,000","0","1,139,000",
="060435","明泰凱基6B購02  ","0","0","0","1,687,000","554,000","1,133,000","1,687,000","554,000","1,133,000",
="060516","敦泰元大71購01  ","0","0","0","1,484,000","353,000","1,131,000","1,484,000","353,000","1,131,000",
="03025P","台積電元大6A售06","0","0","0","1,159,000","42,000","1,117,000","1,159,000","42,000","1,117,000",
="0061  ","元大寶滬深      ","90,000","150,000","-60,000","1,293,000","125,000","1,168,000","1,383,000","275,000","1,108,000",
="055051","聯發科永昌66購02","0","0","0","1,100,000","0","1,100,000","1,100,000","0","1,100,000",
="060531","華邦電凱基6B購02","0","0","0","1,573,000","486,000","1,087,000","1,573,000","486,000","1,087,000",
="060857","聯發科凱基6B購04","0","0","0","2,525,000","1,441,000","1,084,000","2,525,000","1,441,000","1,084,000",
="07272P","台灣50統一69售02","0","0","0","1,091,000","30,000","1,061,000","1,091,000","30,000","1,061,000",
="057461","深中小元富6A購01","0","0","0","1,145,000","98,000","1,047,000","1,145,000","98,000","1,047,000",
="08728P","鑽全元大6B售01  ","0","0","0","1,017,000","0","1,017,000","1,017,000","0","1,017,000",
="08764P","GIS群益6A售01   ","0","0","0","1,005,000","0","1,005,000","1,005,000","0","1,005,000",
="060586","明泰國泰6B購01  ","0","0","0","1,054,000","53,000","1,001,000","1,054,000","53,000","1,001,000",
="060818","聯發科凱基6B購03","0","0","0","1,034,000","33,000","1,001,000","1,034,000","33,000","1,001,000",
="059475","T50反1元富6B購02","0","0","0","990,000","0","990,000","990,000","0","990,000",
="03084P","聯發科元大6B售02","0","0","0","1,038,000","50,000","988,000","1,038,000","50,000","988,000",
="07480P","台達電元大69售01","0","0","0","989,000","10,000","979,000","989,000","10,000","979,000",
="058460","潤泰全群益6A購02","0","0","0","989,000","15,000","974,000","989,000","15,000","974,000",
"2344  ","華邦電          ","20,000","100,000","-80,000","2,358,000","1,309,000","1,049,000","2,378,000","1,409,000","969,000",
="060082","鴻海兆豐71購03  ","0","0","0","1,067,000","109,000","958,000","1,067,000","109,000","958,000",
="056692","綠悅中信68購01  ","0","0","0","984,000","34,000","950,000","984,000","34,000","950,000",
="060209","深100元大6C購02 ","0","0","0","988,000","41,000","947,000","988,000","41,000","947,000",
="058113","宏全元大69購01  ","0","0","0","1,103,000","170,000","933,000","1,103,000","170,000","933,000",
="060203","宏全元大6B購01  ","0","0","0","1,044,000","113,000","931,000","1,044,000","113,000","931,000",
="08612P","台積電永昌69售04","0","0","0","896,000","0","896,000","896,000","0","896,000",
="03113P","群創兆豐6B售01  ","0","0","0","989,000","103,000","886,000","989,000","103,000","886,000",
"1314  ","中石化          ","28,000","0","28,000","1,040,000","203,000","837,000","1,068,000","203,000","865,000",
"1215  ","卜蜂            ","279,000","47,000","232,000","655,000","25,000","630,000","934,000","72,000","862,000",
="03262P","台灣50群益6B售01","0","0","0","1,254,000","405,000","849,000","1,254,000","405,000","849,000",
="07854P","台灣50群益68售04","0","0","0","848,000","0","848,000","848,000","0","848,000",
="03007P","鴻海元大6A售10  ","0","0","0","846,000","0","846,000","846,000","0","846,000",
="061102","深100元大72購01 ","0","0","0","949,000","103,000","846,000","949,000","103,000","846,000",
="08585P","台積電統一69售02","0","0","0","881,000","35,000","846,000","881,000","35,000","846,000",
="057201","和大永昌68購03  ","0","0","0","872,000","34,000","838,000","872,000","34,000","838,000",
="058053","國喬國泰6A購01  ","0","0","0","856,000","20,000","836,000","856,000","20,000","836,000",
="060291","葡萄王元大72購01","0","0","0","1,151,000","319,000","832,000","1,151,000","319,000","832,000",
"2311  ","日月光          ","1,001,000","0","1,001,000","58,000","230,000","-172,000","1,059,000","230,000","829,000",
="057360","上銀凱基69購01  ","0","0","0","1,114,000","290,000","824,000","1,114,000","290,000","824,000",
="03541P","華邦電富邦6B售03","0","0","0","941,000","130,000","811,000","941,000","130,000","811,000",
="03358P","台積電兆豐6C售02","0","0","0","923,000","124,000","799,000","923,000","124,000","799,000",
="08918P","臺股指元大6A售08","0","0","0","957,000","161,000","796,000","957,000","161,000","796,000",
="08916P","臺股指元大6A售06","0","0","0","890,000","99,000","791,000","890,000","99,000","791,000",
="058129","麗豐凱基69購01  ","0","0","0","920,000","130,000","790,000","920,000","130,000","790,000",
="08594P","聯發科元大69售05","0","0","0","1,296,000","512,000","784,000","1,296,000","512,000","784,000",
="03373P","可成元大6B售07  ","0","0","0","1,457,000","678,000","779,000","1,457,000","678,000","779,000",
"6176  ","瑞儀            ","126,000","0","126,000","753,000","102,000","651,000","879,000","102,000","777,000",
="060795","上銀統一71購01  ","0","0","0","1,082,000","314,000","768,000","1,082,000","314,000","768,000",
="08793P","上銀統一6A售02  ","0","0","0","777,000","14,000","763,000","777,000","14,000","763,000",
="058041","東聯群益69購03  ","0","0","0","959,000","198,000","761,000","959,000","198,000","761,000",
="03304B","臺股指元大75熊01","0","0","0","770,000","10,000","760,000","770,000","10,000","760,000",
="03285B","臺股指元大69熊19","0","0","0","935,000","176,000","759,000","935,000","176,000","759,000",
="08809P","群創國泰6A售03  ","0","0","0","756,000","0","756,000","756,000","0","756,000",
="060535","臻鼎凱基6B購01  ","0","0","0","1,320,000","576,000","744,000","1,320,000","576,000","744,000",
"8112  ","至上            ","0","1,000","-1,000","752,000","11,000","741,000","752,000","12,000","740,000",
="060913","廣達群益71購01  ","0","0","0","913,000","174,000","739,000","913,000","174,000","739,000",
="057244","深100富邦6A購01 ","0","0","0","987,000","257,000","730,000","987,000","257,000","730,000",
="060006","彩晶元大6B購03  ","0","0","0","1,101,000","376,000","725,000","1,101,000","376,000","725,000",
="08736P","光磊凱基6A售02  ","0","0","0","725,000","0","725,000","725,000","0","725,000",
="03403P","上銀統一6B售03  ","0","0","0","815,000","91,000","724,000","815,000","91,000","724,000",
="08703P","華邦電國泰6A售02","0","0","0","1,079,000","356,000","723,000","1,079,000","356,000","723,000",
="03627P","華邦電永豐6C售03","0","0","0","880,000","160,000","720,000","880,000","160,000","720,000",
="057614","上銀群益6A購01  ","0","0","0","782,000","62,000","720,000","782,000","62,000","720,000",
="08327P","鴻海兆豐6A售01  ","0","0","0","729,000","10,000","719,000","729,000","10,000","719,000",
="058408","大立光統一6C購01","0","0","0","1,147,000","431,000","716,000","1,147,000","431,000","716,000",
="055059","智邦群益67購01  ","0","0","0","798,000","88,000","710,000","798,000","88,000","710,000",
="07987P","T50反1凱基68售06","0","0","0","710,000","0","710,000","710,000","0","710,000",
="08641P","台積電元大6A售04","0","0","0","1,122,000","419,000","703,000","1,122,000","419,000","703,000",
="07986P","T50反1凱基68售05","0","0","0","700,000","0","700,000","700,000","0","700,000",
="057511","宏達電日盛69購01","0","0","0","724,000","31,000","693,000","724,000","31,000","693,000",
="08397P","聯發科元大69售04","0","0","0","835,000","146,000","689,000","835,000","146,000","689,000",
="03099P","鑽全元大6B售02  ","0","0","0","798,000","115,000","683,000","798,000","115,000","683,000",
="03503P","群創統一6B售04  ","0","0","0","1,032,000","350,000","682,000","1,032,000","350,000","682,000",
="03286P","台積電國泰6C售01","0","0","0","695,000","15,000","680,000","695,000","15,000","680,000",
="057070","廣達元大68購02  ","0","0","0","1,022,000","343,000","679,000","1,022,000","343,000","679,000",
"2408  ","南亞科          ","312,000","0","312,000","552,000","187,000","365,000","864,000","187,000","677,000",
="055954","T50反1中信6C購01","0","0","0","676,000","0","676,000","676,000","0","676,000",
"2603  ","長榮            ","487,000","530,000","-43,000","769,000","55,000","714,000","1,256,000","585,000","671,000",
="058860","晶豪科凱基6A購01","0","0","0","740,000","79,000","661,000","740,000","79,000","661,000",
="03080P","華邦電凱基6B售01","0","0","0","2,033,000","1,373,000","660,000","2,033,000","1,373,000","660,000",
="03227P","群創統一6B售02  ","0","0","0","842,000","184,000","658,000","842,000","184,000","658,000",
="08053P","TPK永豐69售04   ","0","0","0","965,000","310,000","655,000","965,000","310,000","655,000",
="055706","緯創元富68購01  ","0","0","0","1,338,000","693,000","645,000","1,338,000","693,000","645,000",
="07697P","T50反1日盛67售01","0","0","0","640,000","0","640,000","640,000","0","640,000",
="03041P","台積電元大6A售07","0","0","0","642,000","3,000","639,000","642,000","3,000","639,000",
="059254","華新科元大6A購01","0","0","0","873,000","240,000","633,000","873,000","240,000","633,000",
="03146P","台灣50富邦73售01","0","0","0","748,000","121,000","627,000","748,000","121,000","627,000",
="060303","明泰國泰6C購01  ","0","0","0","661,000","37,000","624,000","661,000","37,000","624,000",
="059051","群創群益6A購01  ","0","0","0","2,196,000","1,575,000","621,000","2,196,000","1,575,000","621,000",
="060277","貿聯凱基6B購02  ","0","0","0","701,000","80,000","621,000","701,000","80,000","621,000",
="057008","可成凱基68購03  ","0","0","0","769,000","150,000","619,000","769,000","150,000","619,000",
="08967P","臺股指永豐6B售02","0","0","0","710,000","93,000","617,000","710,000","93,000","617,000",
="060859","可成凱基6B購04  ","0","0","0","858,000","242,000","616,000","858,000","242,000","616,000",
="08832P","可成元大6A售03  ","0","0","0","650,000","40,000","610,000","650,000","40,000","610,000",
="058012","臻鼎富邦6C購01  ","0","0","0","638,000","29,000","609,000","638,000","29,000","609,000",
="059631","麗豐元大71購02  ","0","0","0","790,000","182,000","608,000","790,000","182,000","608,000",
="060422","嘉澤國泰6B購01  ","0","0","0","609,000","3,000","606,000","609,000","3,000","606,000",
="059450","華新科元大6A購02","0","0","0","638,000","33,000","605,000","638,000","33,000","605,000",
="08306P","群創群益69售01  ","0","0","0","605,000","0","605,000","605,000","0","605,000",
="08336P","訊芯凱基69售02  ","0","0","0","735,000","131,000","604,000","735,000","131,000","604,000",
="054026","中鋼國泰66購02  ","0","0","0","600,000","0","600,000","600,000","0","600,000",
="056895","臻鼎富邦6B購01  ","0","0","0","729,000","129,000","600,000","729,000","129,000","600,000",
="057450","元油2X凱基6A購01","0","0","0","600,000","1,000","599,000","600,000","1,000","599,000",
="03370P","群創元富6C售03  ","0","0","0","597,000","0","597,000","597,000","0","597,000",
="061341","可成統一72購01  ","0","0","0","1,205,000","611,000","594,000","1,205,000","611,000","594,000",
="058698","華紙群益6A購01  ","0","0","0","599,000","6,000","593,000","599,000","6,000","593,000",
="057330","上銀元大69購02  ","0","0","0","847,000","255,000","592,000","847,000","255,000","592,000",
="057667","玉山金日盛6A購01","0","0","0","590,000","0","590,000","590,000","0","590,000",
="08824P","華邦電永豐6A售05","0","0","0","613,000","24,000","589,000","613,000","24,000","589,000",
="058123","力達凱基6B購01  ","0","0","0","586,000","5,000","581,000","586,000","5,000","581,000",
="059634","新唐永豐6A購02  ","0","0","0","619,000","40,000","579,000","619,000","40,000","579,000",
="059032","東陽元大6B購01  ","0","0","0","610,000","34,000","576,000","610,000","34,000","576,000",
="03424P","上銀統一6B售04  ","0","0","0","762,000","193,000","569,000","762,000","193,000","569,000",
="060589","興勤國泰6B購01  ","0","0","0","658,000","89,000","569,000","658,000","89,000","569,000",
="08816P","台積電元大6B售01","0","0","0","563,000","0","563,000","563,000","0","563,000",
="059682","宏全永豐6A購02  ","0","0","0","789,000","227,000","562,000","789,000","227,000","562,000",
="03101P","中租元富6B售01  ","0","0","0","561,000","0","561,000","561,000","0","561,000",
="059592","聯發科元大6A購05","0","0","0","711,000","150,000","561,000","711,000","150,000","561,000",
="056035","新光金永昌67購03","0","0","0","651,000","94,000","557,000","651,000","94,000","557,000",
="056689","T50反1中信68購02","0","0","0","557,000","0","557,000","557,000","0","557,000",
="059911","康控國泰6B購01  ","0","0","0","623,000","71,000","552,000","623,000","71,000","552,000",
="059933","智伸科群益6B購01","0","0","0","575,000","25,000","550,000","575,000","25,000","550,000",
="03464C","大立光凱基68牛06","0","0","0","560,000","12,000","548,000","560,000","12,000","548,000",
="060047","貿聯凱基6B購01  ","0","0","0","667,000","120,000","547,000","667,000","120,000","547,000",
="057266","元油2X統一6A購01","0","0","0","546,000","0","546,000","546,000","0","546,000",
="060429","明泰元大6B購03  ","0","0","0","963,000","418,000","545,000","963,000","418,000","545,000",
="060781","東聯群益6C購01  ","0","0","0","808,000","263,000","545,000","808,000","263,000","545,000",
="058301","FB臺反群益69購01","0","0","0","540,000","0","540,000","540,000","0","540,000",
="00653L","富邦印度正2     ","0","0","0","727,000","188,000","539,000","727,000","188,000","539,000",
="058413","微星元大6A購02  ","0","0","0","606,000","68,000","538,000","606,000","68,000","538,000",
="060498","聚陽群益6C購01  ","0","0","0","548,000","10,000","538,000","548,000","10,000","538,000",
="08408P","訊芯群益69售03  ","0","0","0","537,000","0","537,000","537,000","0","537,000",
="058264","可成永昌69購03  ","0","0","0","904,000","374,000","530,000","904,000","374,000","530,000",
="056589","群創群益68購04  ","0","0","0","1,246,000","720,000","526,000","1,246,000","720,000","526,000",
="03628P","華邦電元富6C售02","0","0","0","600,000","77,000","523,000","600,000","77,000","523,000",
="059854","敦泰兆豐6C購01  ","0","0","0","721,000","200,000","521,000","721,000","200,000","521,000",
="058532","群創凱基6A購02  ","0","0","0","1,240,000","720,000","520,000","1,240,000","720,000","520,000",
="060075","明泰兆豐6B購01  ","0","0","0","687,000","168,000","519,000","687,000","168,000","519,000",
="08248P","聯鈞凱基68售03  ","0","0","0","519,000","0","519,000","519,000","0","519,000",
="08991P","華邦電兆豐6A售02","0","0","0","529,000","10,000","519,000","529,000","10,000","519,000",
="059958","彩晶統一6C購01  ","0","0","0","1,030,000","512,000","518,000","1,030,000","512,000","518,000",
="060693","興勤凱基6B購02  ","0","0","0","535,000","17,000","518,000","535,000","17,000","518,000",
="060093","台郡永豐6C購01  ","0","0","0","610,000","95,000","515,000","610,000","95,000","515,000",
="060521","東聯元富6B購01  ","0","0","0","992,000","478,000","514,000","992,000","478,000","514,000",
="059225","T50反1統一71購02","0","0","0","513,000","0","513,000","513,000","0","513,000",
="055185","上証2X永昌67購02","0","0","0","1,697,000","1,192,000","505,000","1,697,000","1,192,000","505,000",
="060507","康控永豐6B購02  ","0","0","0","505,000","0","505,000","505,000","0","505,000",
="058127","英業達凱基69購01","0","0","0","765,000","262,000","503,000","765,000","262,000","503,000",
="055087","英利元大69購01  ","0","0","0","510,000","8,000","502,000","510,000","8,000","502,000",
="061266","明泰元大6C購01  ","0","0","0","700,000","199,000","501,000","700,000","199,000","501,000",
"2882A ","國泰特          ","501,000","0","501,000","0","0","0","501,000","0","501,000",
="059973","康控中信6B購01  ","0","0","0","548,000","55,000","493,000","548,000","55,000","493,000",
="060437","興勤凱基6B購01  ","0","0","0","559,000","68,000","491,000","559,000","68,000","491,000",
="08543P","台積電富邦69售01","0","0","0","521,000","30,000","491,000","521,000","30,000","491,000",
="06802P","T50反1元大68售01","0","0","0","490,000","0","490,000","490,000","0","490,000",
="056091","大同永豐68購03  ","0","0","0","690,000","202,000","488,000","690,000","202,000","488,000",
="08035P","TPK康和68售01   ","0","0","0","500,000","14,000","486,000","500,000","14,000","486,000",
="056933","大立光統一69購06","0","0","0","860,000","375,000","485,000","860,000","375,000","485,000",
="060864","聯發科統一71購02","0","0","0","485,000","0","485,000","485,000","0","485,000",
="07662P","臺股指元富68售01","0","0","0","495,000","10,000","485,000","495,000","10,000","485,000",
="060858","聯發科凱基6B購05","0","0","0","645,000","161,000","484,000","645,000","161,000","484,000",
="055531","力達第一71購01  ","0","0","0","483,000","0","483,000","483,000","0","483,000",
="059582","大立光元大6A購12","0","0","0","505,000","22,000","483,000","505,000","22,000","483,000",
="058577","大立光統一6B購02","0","0","0","490,000","11,000","479,000","490,000","11,000","479,000",
="056643","臻鼎玉山68購01  ","0","0","0","761,000","285,000","476,000","761,000","285,000","476,000",
="057825","長榮元大69購01  ","0","0","0","507,000","32,000","475,000","507,000","32,000","475,000",
="060387","元油2X日盛6B購01","0","0","0","555,000","81,000","474,000","555,000","81,000","474,000",
="058742","南茂國泰6A購01  ","0","0","0","570,000","99,000","471,000","570,000","99,000","471,000",
="07930P","中石化國泰68售02","0","0","0","469,000","0","469,000","469,000","0","469,000",
