"106年06月08日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00637L","元大滬深300正2  ","0","0","0","15,893,000","8,006,000","7,887,000","15,893,000","8,006,000","7,887,000",
="00633L","富邦上証正2     ","562,000","210,000","352,000","8,298,000","2,883,000","5,415,000","8,860,000","3,093,000","5,767,000",
"2371  ","大同            ","174,000","4,000","170,000","4,865,000","544,000","4,321,000","5,039,000","548,000","4,491,000",
="07559P","群創富邦67售02  ","0","0","0","3,810,000","0","3,810,000","3,810,000","0","3,810,000",
="00673R","元大S&P原油反1  ","200,000","200,000","0","3,082,000","132,000","2,950,000","3,282,000","332,000","2,950,000",
="052191","大立光凱基66購11","0","0","0","2,763,000","0","2,763,000","2,763,000","0","2,763,000",
="059761","國巨元大6B購01  ","0","0","0","3,687,000","1,033,000","2,654,000","3,687,000","1,033,000","2,654,000",
="056113","廣達群益67購01  ","0","0","0","3,152,000","822,000","2,330,000","3,152,000","822,000","2,330,000",
="00639 ","富邦深100       ","0","50,000","-50,000","5,217,000","2,914,000","2,303,000","5,217,000","2,964,000","2,253,000",
"2603  ","長榮            ","1,327,000","3,000","1,324,000","1,078,000","172,000","906,000","2,405,000","175,000","2,230,000",
="057042","大立光統一68購08","0","0","0","2,043,000","110,000","1,933,000","2,043,000","110,000","1,933,000",
"2344  ","華邦電          ","220,000","1,385,000","-1,165,000","3,691,000","667,000","3,024,000","3,911,000","2,052,000","1,859,000",
="03424P","上銀統一6B售04  ","0","0","0","2,246,000","558,000","1,688,000","2,246,000","558,000","1,688,000",
="056888","日月光凱基68購01","0","0","0","1,684,000","0","1,684,000","1,684,000","0","1,684,000",
"1303  ","南亞            ","9,000","10,000","-1,000","1,676,000","5,000","1,671,000","1,685,000","15,000","1,670,000",
="058154","華新科元大69購03","0","0","0","2,835,000","1,204,000","1,631,000","2,835,000","1,204,000","1,631,000",
="059232","群創兆豐6A購02  ","0","0","0","1,836,000","231,000","1,605,000","1,836,000","231,000","1,605,000",
="060526","佳世達凱基6B購01","0","0","0","1,830,000","240,000","1,590,000","1,830,000","240,000","1,590,000",
="03421P","貿聯國泰6B售04  ","0","0","0","1,591,000","20,000","1,571,000","1,591,000","20,000","1,571,000",
="058075","美律群益6A購01  ","0","0","0","2,377,000","810,000","1,567,000","2,377,000","810,000","1,567,000",
="060492","大立光統一6C購07","0","0","0","1,473,000","15,000","1,458,000","1,473,000","15,000","1,458,000",
="058631","葡萄王凱基6A購01","0","0","0","2,278,000","823,000","1,455,000","2,278,000","823,000","1,455,000",
"3706  ","神達            ","40,000","51,000","-11,000","1,485,000","58,000","1,427,000","1,525,000","109,000","1,416,000",
="059946","臻鼎元大6B購01  ","0","0","0","2,290,000","880,000","1,410,000","2,290,000","880,000","1,410,000",
"2882  ","國泰金          ","1,324,000","0","1,324,000","154,000","81,000","73,000","1,478,000","81,000","1,397,000",
="060392","台積電元大6B購06","0","0","0","1,469,000","104,000","1,365,000","1,469,000","104,000","1,365,000",
="03656P","台積電元大6C售04","0","0","0","1,690,000","337,000","1,353,000","1,690,000","337,000","1,353,000",
"2881  ","富邦金          ","475,000","0","475,000","892,000","15,000","877,000","1,367,000","15,000","1,352,000",
="057070","廣達元大68購02  ","0","0","0","1,635,000","310,000","1,325,000","1,635,000","310,000","1,325,000",
="058545","奇力新元大71購02","0","0","0","1,648,000","334,000","1,314,000","1,648,000","334,000","1,314,000",
="057157","廣宇兆豐68購01  ","0","0","0","1,287,000","0","1,287,000","1,287,000","0","1,287,000",
="08793P","上銀統一6A售02  ","0","0","0","1,389,000","112,000","1,277,000","1,389,000","112,000","1,277,000",
="057220","台塑元大68購01  ","0","0","0","1,250,000","0","1,250,000","1,250,000","0","1,250,000",
="060567","廣宇元大6C購01  ","0","0","0","1,569,000","329,000","1,240,000","1,569,000","329,000","1,240,000",
="060218","敦南元富6B購01  ","0","0","0","1,434,000","235,000","1,199,000","1,434,000","235,000","1,199,000",
="058579","友達統一6C購01  ","0","0","0","1,797,000","599,000","1,198,000","1,797,000","599,000","1,198,000",
="058724","農林國票6B購01  ","0","0","0","1,713,000","515,000","1,198,000","1,713,000","515,000","1,198,000",
="058408","大立光統一6C購01","0","0","0","1,883,000","693,000","1,190,000","1,883,000","693,000","1,190,000",
="03259P","嘉澤永豐6B售02  ","0","0","0","1,501,000","313,000","1,188,000","1,501,000","313,000","1,188,000",
="057201","和大永昌68購03  ","0","0","0","1,659,000","477,000","1,182,000","1,659,000","477,000","1,182,000",
="057524","聯發科統一6A購01","0","0","0","1,358,000","179,000","1,179,000","1,358,000","179,000","1,179,000",
="03072P","超眾元富6B售02  ","0","0","0","1,230,000","76,000","1,154,000","1,230,000","76,000","1,154,000",
="08725P","超眾元大6A售02  ","0","0","0","1,178,000","25,000","1,153,000","1,178,000","25,000","1,153,000",
="058374","T50反1元大71購01","0","0","0","1,145,000","1,000","1,144,000","1,145,000","1,000","1,144,000",
="060003","英業達元大6B購01","0","0","0","1,673,000","536,000","1,137,000","1,673,000","536,000","1,137,000",
"2356  ","英業達          ","854,000","4,000","850,000","714,000","436,000","278,000","1,568,000","440,000","1,128,000",
="054578","友達永昌67購02  ","0","0","0","1,115,000","10,000","1,105,000","1,115,000","10,000","1,105,000",
="056495","臻鼎元大68購02  ","0","0","0","1,330,000","248,000","1,082,000","1,330,000","248,000","1,082,000",
="054556","聯發科元大68購01","0","0","0","1,201,000","130,000","1,071,000","1,201,000","130,000","1,071,000",
="03181P","超眾元大6C售03  ","0","0","0","1,103,000","50,000","1,053,000","1,103,000","50,000","1,053,000",
="058088","宏全凱基69購01  ","0","0","0","1,100,000","50,000","1,050,000","1,100,000","50,000","1,050,000",
="00636 ","國泰中國A50     ","216,000","80,000","136,000","1,141,000","232,000","909,000","1,357,000","312,000","1,045,000",
="057111","宏達電統一6A購01","0","0","0","1,086,000","50,000","1,036,000","1,086,000","50,000","1,036,000",
="060818","聯發科凱基6B購03","0","0","0","3,118,000","2,083,000","1,035,000","3,118,000","2,083,000","1,035,000",
"2337  ","旺宏            ","1,315,000","280,000","1,035,000","0","0","0","1,315,000","280,000","1,035,000",
="08607P","日友群益69售04  ","0","0","0","1,227,000","201,000","1,026,000","1,227,000","201,000","1,026,000",
="059648","新唐元富6B購01  ","0","0","0","1,056,000","33,000","1,023,000","1,056,000","33,000","1,023,000",
="059402","廣達元大6A購01  ","0","0","0","1,380,000","361,000","1,019,000","1,380,000","361,000","1,019,000",
="058558","新唐元大71購01  ","0","0","0","2,455,000","1,440,000","1,015,000","2,455,000","1,440,000","1,015,000",
="07523P","台灣50群益67售05","0","0","0","1,013,000","0","1,013,000","1,013,000","0","1,013,000",
"2882A ","國泰特          ","1,003,000","0","1,003,000","0","0","0","1,003,000","0","1,003,000",
="0061  ","元大寶滬深      ","0","37,000","-37,000","1,007,000","0","1,007,000","1,007,000","37,000","970,000",
="03403P","上銀統一6B售03  ","0","0","0","1,462,000","511,000","951,000","1,462,000","511,000","951,000",
="03517P","GIS元大6B售09   ","0","0","0","1,314,000","369,000","945,000","1,314,000","369,000","945,000",
="054434","鴻海富邦6C購01  ","0","0","0","963,000","20,000","943,000","963,000","20,000","943,000",
="059611","友達國泰6B購01  ","0","0","0","977,000","40,000","937,000","977,000","40,000","937,000",
="059636","榮成永豐6B購01  ","0","0","0","951,000","16,000","935,000","951,000","16,000","935,000",
="059435","智原國泰6A購01  ","0","0","0","1,289,000","355,000","934,000","1,289,000","355,000","934,000",
="060338","友達凱基6B購03  ","0","0","0","4,898,000","3,973,000","925,000","4,898,000","3,973,000","925,000",
="060450","廣宇兆豐6C購01  ","0","0","0","909,000","0","909,000","909,000","0","909,000",
="057069","滬深2X元大68購02","0","0","0","990,000","84,000","906,000","990,000","84,000","906,000",
="060711","GIS群益6B購05   ","0","0","0","971,000","65,000","906,000","971,000","65,000","906,000",
"2313  ","華通            ","782,000","375,000","407,000","522,000","27,000","495,000","1,304,000","402,000","902,000",
"1326  ","台化            ","9,000","0","9,000","894,000","3,000","891,000","903,000","3,000","900,000",
="051913","得力國泰68購01  ","0","0","0","960,000","71,000","889,000","960,000","71,000","889,000",
="056071","廣達凱基67購01  ","0","0","0","1,083,000","200,000","883,000","1,083,000","200,000","883,000",
="060751","台積電元大6B購07","0","0","0","1,661,000","790,000","871,000","1,661,000","790,000","871,000",
="059517","宏達電凱基6A購03","0","0","0","974,000","107,000","867,000","974,000","107,000","867,000",
="060745","日月光凱基6B購02","0","0","0","1,154,000","288,000","866,000","1,154,000","288,000","866,000",
="057239","日月光富邦69購01","0","0","0","889,000","31,000","858,000","889,000","31,000","858,000",
="057892","美律日盛6B購01  ","0","0","0","1,091,000","233,000","858,000","1,091,000","233,000","858,000",
="060857","聯發科凱基6B購04","0","0","0","3,397,000","2,541,000","856,000","3,397,000","2,541,000","856,000",
="058064","宏達電凱基69購01","0","0","0","898,000","61,000","837,000","898,000","61,000","837,000",
="054510","台達電群益68購01","0","0","0","923,000","89,000","834,000","923,000","89,000","834,000",
="03218P","台積電永昌6C售01","0","0","0","1,583,000","755,000","828,000","1,583,000","755,000","828,000",
="061035","新唐永豐6C購01  ","0","0","0","816,000","0","816,000","816,000","0","816,000",
="059978","聯發科台新71購01","0","0","0","1,269,000","459,000","810,000","1,269,000","459,000","810,000",
="056525","宏碁凱基68購01  ","0","0","0","853,000","50,000","803,000","853,000","50,000","803,000",
="058945","國喬元大6B購02  ","0","0","0","802,000","0","802,000","802,000","0","802,000",
="03031P","臺股指玉山6A售02","0","0","0","800,000","0","800,000","800,000","0","800,000",
="07761P","台積電日盛67售02","0","0","0","798,000","0","798,000","798,000","0","798,000",
="03337P","英業達元富6C售01","0","0","0","796,000","0","796,000","796,000","0","796,000",
="057716","廣宇群益69購05  ","0","0","0","915,000","119,000","796,000","915,000","119,000","796,000",
="08389P","超眾永豐69售03  ","0","0","0","821,000","25,000","796,000","821,000","25,000","796,000",
="00635U","元大S&P黃金     ","0","0","0","1,323,000","571,000","752,000","1,323,000","571,000","752,000",
="058816","鴻海富邦6C購03  ","0","0","0","763,000","19,000","744,000","763,000","19,000","744,000",
="057022","友達永豐69購02  ","0","0","0","954,000","211,000","743,000","954,000","211,000","743,000",
="060597","GIS凱基6B購04   ","0","0","0","1,293,000","550,000","743,000","1,293,000","550,000","743,000",
="058383","滬深2X元大69購03","0","0","0","1,100,000","359,000","741,000","1,100,000","359,000","741,000",
="03028P","國巨永豐6A售03  ","0","0","0","897,000","157,000","740,000","897,000","157,000","740,000",
="058893","聯發科統一6C購01","0","0","0","2,087,000","1,348,000","739,000","2,087,000","1,348,000","739,000",
="03226P","台積電統一6B售06","0","100,000","-100,000","861,000","24,000","837,000","861,000","124,000","737,000",
="059815","美律永豐6C購01  ","0","0","0","1,093,000","365,000","728,000","1,093,000","365,000","728,000",
="059641","廣達群益6B購02  ","0","0","0","855,000","128,000","727,000","855,000","128,000","727,000",
="056935","和大統一6B購01  ","0","0","0","1,551,000","826,000","725,000","1,551,000","826,000","725,000",
="03172P","義隆元富6B售01  ","0","0","0","985,000","265,000","720,000","985,000","265,000","720,000",
"2327  ","國巨            ","258,000","69,000","189,000","586,000","60,000","526,000","844,000","129,000","715,000",
="060741","台積電統一75購01","0","0","0","756,000","42,000","714,000","756,000","42,000","714,000",
="059757","佳世達元大71購01","0","0","0","729,000","19,000","710,000","729,000","19,000","710,000",
="060193","日月光永豐6B購01","0","0","0","708,000","0","708,000","708,000","0","708,000",
="03643P","台積電統一71售01","0","0","0","945,000","238,000","707,000","945,000","238,000","707,000",
="059563","華新科日盛6A購01","0","0","0","1,158,000","455,000","703,000","1,158,000","455,000","703,000",
="056208","滬深2X元大67購01","0","0","0","702,000","0","702,000","702,000","0","702,000",
="03111P","南亞科日盛6B售01","0","0","0","722,000","21,000","701,000","722,000","21,000","701,000",
="08007P","亞光元大68售01  ","0","0","0","700,000","0","700,000","700,000","0","700,000",
="08145P","台積電凱基68售10","0","0","0","1,060,000","360,000","700,000","1,060,000","360,000","700,000",
="057382","T50反1國泰69購02","0","0","0","696,000","0","696,000","696,000","0","696,000",
="08441P","上銀元富69售03  ","0","0","0","970,000","279,000","691,000","970,000","279,000","691,000",
="058627","得力凱基6A購01  ","0","0","0","1,075,000","387,000","688,000","1,075,000","387,000","688,000",
="051710","和大元大66購01  ","0","0","0","806,000","121,000","685,000","806,000","121,000","685,000",
="059821","廣宇元富71購01  ","0","0","0","810,000","125,000","685,000","810,000","125,000","685,000",
"8150  ","南茂            ","195,000","220,000","-25,000","1,113,000","404,000","709,000","1,308,000","624,000","684,000",
="058211","友達兆豐6A購02  ","0","0","0","1,628,000","945,000","683,000","1,628,000","945,000","683,000",
"2884  ","玉山金          ","1,000,000","311,000","689,000","0","7,000","-7,000","1,000,000","318,000","682,000",
="056291","和大日盛69購01  ","0","0","0","691,000","10,000","681,000","691,000","10,000","681,000",
