"106年08月02日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
"2892  ","第一金          ","619,000","100,000","519,000","3,676,000","0","3,676,000","4,295,000","100,000","4,195,000",
="063088","台積電群益71購07","0","0","0","4,186,000","20,000","4,166,000","4,186,000","20,000","4,166,000",
="060191","鴻海台新71購01  ","0","0","0","3,366,000","0","3,366,000","3,366,000","0","3,366,000",
="08766P","大立光群益6C售05","0","0","0","3,150,000","300,000","2,850,000","3,150,000","300,000","2,850,000",
="062691","宏碁群益72購01  ","0","0","0","2,840,000","100,000","2,740,000","2,840,000","100,000","2,740,000",
"2884  ","玉山金          ","880,000","0","880,000","2,071,340","318,000","1,753,340","2,951,340","318,000","2,633,340",
="063220","建準元富71購01  ","0","0","0","2,552,000","29,000","2,523,000","2,552,000","29,000","2,523,000",
="0061  ","元大寶滬深      ","30,000","0","30,000","2,614,000","165,000","2,449,000","2,644,000","165,000","2,479,000",
="062324","緯創元大6C購03  ","0","0","0","3,161,000","715,000","2,446,000","3,161,000","715,000","2,446,000",
="058913","鴻海群益6B購03  ","0","0","0","2,509,000","88,000","2,421,000","2,509,000","88,000","2,421,000",
="059005","聯茂康和6A購01  ","0","0","0","2,460,000","76,000","2,384,000","2,460,000","76,000","2,384,000",
="060845","TPK國泰6B購01   ","0","0","0","3,184,000","994,000","2,190,000","3,184,000","994,000","2,190,000",
="061603","元石油統一72購01","0","0","0","2,100,000","0","2,100,000","2,100,000","0","2,100,000",
"2313  ","華通            ","1,489,000","576,000","913,000","3,020,000","1,964,000","1,056,000","4,509,000","2,540,000","1,969,000",
="058976","台化元大6A購01  ","0","0","0","2,166,000","204,000","1,962,000","2,166,000","204,000","1,962,000",
="063575","新唐凱基71購01  ","0","0","0","2,559,000","683,000","1,876,000","2,559,000","683,000","1,876,000",
="061341","可成統一72購01  ","0","0","0","3,278,000","1,410,000","1,868,000","3,278,000","1,410,000","1,868,000",
="058576","緯創兆豐6B購01  ","0","0","0","2,098,000","260,000","1,838,000","2,098,000","260,000","1,838,000",
="057816","廣宇日盛6A購01  ","0","0","0","2,188,000","439,000","1,749,000","2,188,000","439,000","1,749,000",
"2354  ","鴻準            ","469,000","105,000","364,000","1,462,000","84,000","1,378,000","1,931,000","189,000","1,742,000",
="057738","彩晶元大6C購01  ","0","0","0","2,170,000","434,000","1,736,000","2,170,000","434,000","1,736,000",
="057149","臺企銀元大6A購01","0","0","0","1,710,000","0","1,710,000","1,710,000","0","1,710,000",
="062776","宏碁元大71購03  ","0","0","0","1,877,000","200,000","1,677,000","1,877,000","200,000","1,677,000",
="060720","緯創元大6C購01  ","0","0","0","2,827,000","1,161,000","1,666,000","2,827,000","1,161,000","1,666,000",
="058759","正隆永豐6A購01  ","0","0","0","1,971,000","324,000","1,647,000","1,971,000","324,000","1,647,000",
="061854","台積電元大6C購09","0","0","0","2,060,000","424,000","1,636,000","2,060,000","424,000","1,636,000",
="063566","嘉澤統一71購01  ","0","0","0","2,508,000","878,000","1,630,000","2,508,000","878,000","1,630,000",
="057066","敦泰元大6A購01  ","0","0","0","1,940,000","349,000","1,591,000","1,940,000","349,000","1,591,000",
="058156","緯創元大69購02  ","0","0","0","2,159,000","588,000","1,571,000","2,159,000","588,000","1,571,000",
="058130","華邦電日盛6A購01","0","0","0","1,500,000","0","1,500,000","1,500,000","0","1,500,000",
="058775","南茂永豐6A購01  ","0","0","0","1,558,000","60,000","1,498,000","1,558,000","60,000","1,498,000",
="058287","樺漢統一6B購02  ","0","0","0","1,606,000","109,000","1,497,000","1,606,000","109,000","1,497,000",
="060115","台郡元大71購01  ","0","0","0","2,000,000","515,000","1,485,000","2,000,000","515,000","1,485,000",
="058338","開發金元大6C購01","0","0","0","1,745,000","281,000","1,464,000","1,745,000","281,000","1,464,000",
="062164","可成富邦6C購05  ","0","0","0","1,770,000","307,000","1,463,000","1,770,000","307,000","1,463,000",
="060934","聯發科統一72購01","0","0","0","1,738,000","319,000","1,419,000","1,738,000","319,000","1,419,000",
="058053","國喬國泰6A購01  ","0","0","0","2,038,000","630,000","1,408,000","2,038,000","630,000","1,408,000",
="061482","聯發科統一72購04","0","0","0","1,496,000","95,000","1,401,000","1,496,000","95,000","1,401,000",
="062227","敦泰兆豐71購01  ","0","0","0","1,407,000","40,000","1,367,000","1,407,000","40,000","1,367,000",
="059854","敦泰兆豐6C購01  ","0","0","0","1,410,000","50,000","1,360,000","1,410,000","50,000","1,360,000",
="063157","廣達凱基71購01  ","0","0","0","1,972,000","621,000","1,351,000","1,972,000","621,000","1,351,000",
="057613","上銀統一6A購01  ","0","0","0","1,580,000","252,000","1,328,000","1,580,000","252,000","1,328,000",
="061755","台積電統一73購04","0","0","0","1,553,000","234,000","1,319,000","1,553,000","234,000","1,319,000",
="058503","劍麟元大71購02  ","0","0","0","1,859,000","554,000","1,305,000","1,859,000","554,000","1,305,000",
="062426","彩晶凱基71購01  ","0","0","0","1,589,000","300,000","1,289,000","1,589,000","300,000","1,289,000",
="063378","南亞科統一73購01","0","0","0","1,454,000","173,000","1,281,000","1,454,000","173,000","1,281,000",
="058697","敦泰群益6B購01  ","0","0","0","1,309,000","32,000","1,277,000","1,309,000","32,000","1,277,000",
"2352  ","佳世達          ","300,000","102,000","198,000","1,506,000","443,000","1,063,000","1,806,000","545,000","1,261,000",
="062822","健策國泰71購01  ","0","0","0","1,263,000","40,000","1,223,000","1,263,000","40,000","1,223,000",
"3037  ","欣興            ","816,000","299,000","517,000","975,000","279,000","696,000","1,791,000","578,000","1,213,000",
="061905","可成元大6C購06  ","0","0","0","3,196,000","1,985,000","1,211,000","3,196,000","1,985,000","1,211,000",
"2303  ","聯電            ","20,000","113,000","-93,000","1,465,000","164,000","1,301,000","1,485,000","277,000","1,208,000",
="062658","鴻海玉山71購02  ","0","0","0","1,281,000","80,000","1,201,000","1,281,000","80,000","1,201,000",
="060192","GIS永豐6C購02   ","0","0","0","1,217,000","19,000","1,198,000","1,217,000","19,000","1,198,000",
="006207","FH滬深          ","0","0","0","1,581,000","413,000","1,168,000","1,581,000","413,000","1,168,000",
="061525","緯創元富71購01  ","0","0","0","1,341,000","177,000","1,164,000","1,341,000","177,000","1,164,000",
="062507","聯電凱基71購01  ","0","0","0","2,234,000","1,071,000","1,163,000","2,234,000","1,071,000","1,163,000",
"1216  ","統一            ","660,000","203,000","457,000","811,000","107,000","704,000","1,471,000","310,000","1,161,000",
="058143","微星永豐6A購01  ","0","0","0","1,279,000","120,000","1,159,000","1,279,000","120,000","1,159,000",
="058861","智原凱基6A購01  ","0","0","0","2,303,000","1,144,000","1,159,000","2,303,000","1,144,000","1,159,000",
="062293","正隆永豐71購01  ","0","0","0","1,368,000","221,000","1,147,000","1,368,000","221,000","1,147,000",
="062766","裕融永豐71購01  ","0","0","0","1,417,000","272,000","1,145,000","1,417,000","272,000","1,145,000",
="03541P","華邦電富邦6B售03","0","0","0","1,221,000","90,000","1,131,000","1,221,000","90,000","1,131,000",
="062103","可成永昌6C購03  ","0","0","0","2,358,000","1,231,000","1,127,000","2,358,000","1,231,000","1,127,000",
="061056","可成元大6C購01  ","0","0","0","3,317,000","2,203,000","1,114,000","3,317,000","2,203,000","1,114,000",
="060265","可成統一6C購03  ","0","0","0","2,494,000","1,385,000","1,109,000","2,494,000","1,385,000","1,109,000",
="062313","長虹凱基71購01  ","0","0","0","1,581,000","476,000","1,105,000","1,581,000","476,000","1,105,000",
="059679","GIS永豐6A購05   ","0","0","0","1,100,000","0","1,100,000","1,100,000","0","1,100,000",
="061518","榮成統一71購01  ","0","0","0","1,621,000","533,000","1,088,000","1,621,000","533,000","1,088,000",
="062890","裕融凱基71購01  ","0","0","0","1,477,000","392,000","1,085,000","1,477,000","392,000","1,085,000",
"2492  ","華新科          ","41,000","7,000","34,000","1,153,000","109,000","1,044,000","1,194,000","116,000","1,078,000",
