"106年07月11日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00637L","元大滬深300正2  ","0","956,000","-956,000","31,168,000","8,277,000","22,891,000","31,168,000","9,233,000","21,935,000",
"2317  ","鴻海            ","2,537,000","175,000","2,362,000","6,774,000","650,000","6,124,000","9,311,000","825,000","8,486,000",
"2409  ","友達            ","197,000","733,000","-536,000","8,954,000","561,000","8,393,000","9,151,000","1,294,000","7,857,000",
="00633L","富邦上証正2     ","1,052,000","2,283,000","-1,231,000","10,792,000","2,492,000","8,300,000","11,844,000","4,775,000","7,069,000",
"1605  ","華新            ","1,013,000","10,000","1,003,000","3,988,000","39,000","3,949,000","5,001,000","49,000","4,952,000",
="059877","美律統一6B購04  ","0","0","0","5,945,000","1,303,000","4,642,000","5,945,000","1,303,000","4,642,000",
"2891  ","中信金          ","4,122,000","545,000","3,577,000","1,064,000","958,000","106,000","5,186,000","1,503,000","3,683,000",
"2377  ","微星            ","382,000","54,000","328,000","3,408,000","246,000","3,162,000","3,790,000","300,000","3,490,000",
="056587","宏碁群益6A購01  ","0","0","0","3,377,000","205,000","3,172,000","3,377,000","205,000","3,172,000",
"2313  ","華通            ","2,041,000","214,000","1,827,000","1,772,000","429,000","1,343,000","3,813,000","643,000","3,170,000",
="059223","群創群益6A購04  ","0","0","0","3,809,000","759,000","3,050,000","3,809,000","759,000","3,050,000",
="062384","聯電凱基6C購03  ","0","0","0","3,685,000","902,000","2,783,000","3,685,000","902,000","2,783,000",
="08404P","台積電永昌69售02","0","0","0","2,767,000","0","2,767,000","2,767,000","0","2,767,000",
"2885  ","元大金          ","354,000","200,000","154,000","2,739,000","334,000","2,405,000","3,093,000","534,000","2,559,000",
="062507","聯電凱基71購01  ","0","0","0","4,365,000","1,863,000","2,502,000","4,365,000","1,863,000","2,502,000",
="060341","台積電凱基6B購03","0","0","0","3,931,000","1,459,000","2,472,000","3,931,000","1,459,000","2,472,000",
