"106年07月14日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","0","0","0","19,278,000","1,045,000","18,233,000","19,278,000","1,045,000","18,233,000",
"2891  ","中信金          ","6,478,000","108,000","6,370,000","12,334,000","1,110,000","11,224,000","18,812,000","1,218,000","17,594,000",
="00637L","元大滬深300正2  ","55,000","0","55,000","18,543,000","14,166,000","4,377,000","18,598,000","14,166,000","4,432,000",
="055121","東陽統一68購01  ","0","0","0","4,257,000","332,000","3,925,000","4,257,000","332,000","3,925,000",
="063065","元大金國泰73購01","0","0","0","3,577,000","94,000","3,483,000","3,577,000","94,000","3,483,000",
="03643P","台積電統一71售01","0","0","0","3,477,000","62,000","3,415,000","3,477,000","62,000","3,415,000",
"1303  ","南亞            ","308,000","88,000","220,000","3,038,000","1,000","3,037,000","3,346,000","89,000","3,257,000",
="058063","元大金凱基69購02","0","0","0","3,540,000","285,000","3,255,000","3,540,000","285,000","3,255,000",
="060213","鴻海元大71購02  ","0","0","0","3,102,000","0","3,102,000","3,102,000","0","3,102,000",
="062375","鴻海元大6C購15  ","0","0","0","3,010,000","0","3,010,000","3,010,000","0","3,010,000",
="061496","GIS群益6C購03   ","0","0","0","2,996,000","51,000","2,945,000","2,996,000","51,000","2,945,000",
="062888","京鼎凱基71購01  ","0","0","0","2,824,000","192,000","2,632,000","2,824,000","192,000","2,632,000",
="03776P","台灣50元大6C售01","0","0","0","3,231,000","754,000","2,477,000","3,231,000","754,000","2,477,000",
="057813","東陽凱基69購01  ","0","0","0","3,117,000","702,000","2,415,000","3,117,000","702,000","2,415,000",
="058489","信邦元大71購01  ","0","0","0","2,993,000","592,000","2,401,000","2,993,000","592,000","2,401,000",
="03568P","大立光統一6C售09","0","0","0","2,555,000","281,000","2,274,000","2,555,000","281,000","2,274,000",
="061688","鎧勝群益6C購01  ","0","0","0","3,045,000","825,000","2,220,000","3,045,000","825,000","2,220,000",
="055059","智邦群益67購01  ","0","0","0","2,196,000","0","2,196,000","2,196,000","0","2,196,000",
="060469","GIS統一6B購03   ","0","0","0","4,055,000","1,879,000","2,176,000","4,055,000","1,879,000","2,176,000",
="057148","統一元大68購01  ","0","0","0","2,205,000","55,000","2,150,000","2,205,000","55,000","2,150,000",
="063086","綠悅群益71購02  ","0","0","0","2,553,000","413,000","2,140,000","2,553,000","413,000","2,140,000",
="061956","鴻海統一73購02  ","0","0","0","2,415,000","305,000","2,110,000","2,415,000","305,000","2,110,000",
="059697","敦泰元大6B購01  ","0","0","0","2,490,000","411,000","2,079,000","2,490,000","411,000","2,079,000",
="061334","GIS群益6C購02   ","0","0","0","3,368,000","1,366,000","2,002,000","3,368,000","1,366,000","2,002,000",
="03286P","台積電國泰6C售01","0","0","0","2,057,000","73,000","1,984,000","2,057,000","73,000","1,984,000",
"3037  ","欣興            ","305,000","11,000","294,000","1,962,000","306,000","1,656,000","2,267,000","317,000","1,950,000",
="08923P","友達永豐6A售01  ","0","0","0","1,826,000","45,000","1,781,000","1,826,000","45,000","1,781,000",
="060432","鴻海元大71購05  ","0","0","0","1,679,000","0","1,679,000","1,679,000","0","1,679,000",
="063054","京鼎元大71購04  ","0","0","0","2,230,000","555,000","1,675,000","2,230,000","555,000","1,675,000",
="055366","鴻準元大6A購02  ","0","0","0","2,582,000","919,000","1,663,000","2,582,000","919,000","1,663,000",
="060651","國喬凱基6B購01  ","0","0","0","2,446,000","785,000","1,661,000","2,446,000","785,000","1,661,000",
="058462","信邦元富71購01  ","0","0","0","1,660,000","25,000","1,635,000","1,660,000","25,000","1,635,000",
"3481  ","群創            ","438,000","253,000","185,000","5,960,000","4,535,000","1,425,000","6,398,000","4,788,000","1,610,000",
="057562","台泥元大69購01  ","0","0","0","1,596,000","0","1,596,000","1,596,000","0","1,596,000",
="059896","康控元大6B購01  ","0","0","0","1,643,000","54,000","1,589,000","1,643,000","54,000","1,589,000",
="060268","鴻海統一72購01  ","0","0","0","1,690,000","101,000","1,589,000","1,690,000","101,000","1,589,000",
="061926","綠悅日盛6C購01  ","0","0","0","2,276,000","692,000","1,584,000","2,276,000","692,000","1,584,000",
="061953","鴻海元富71購06  ","0","0","0","1,881,000","300,000","1,581,000","1,881,000","300,000","1,581,000",
="058947","瑞儀元大6B購01  ","0","0","0","2,113,000","547,000","1,566,000","2,113,000","547,000","1,566,000",
="07902P","可成富邦69售01  ","0","0","0","1,537,000","0","1,537,000","1,537,000","0","1,537,000",
="03505C","台塑元富6C牛01  ","0","0","0","1,530,000","0","1,530,000","1,530,000","0","1,530,000",
