"106年08月04日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="062977","第一金元大71購01","0","0","0","11,421,000","510,000","10,911,000","11,421,000","510,000","10,911,000",
="063704","第一金統一71購01","0","0","0","8,259,000","500,000","7,759,000","8,259,000","500,000","7,759,000",
"2884  ","玉山金          ","650,000","19,000","631,000","6,498,000","9,000","6,489,000","7,148,000","28,000","7,120,000",
="059223","群創群益6A購04  ","0","0","0","7,670,000","3,301,000","4,369,000","7,670,000","3,301,000","4,369,000",
"2371  ","大同            ","423,000","104,000","319,000","4,780,000","746,000","4,034,000","5,203,000","850,000","4,353,000",
"6116  ","彩晶            ","1,321,000","6,000","1,315,000","4,657,000","1,636,000","3,021,000","5,978,000","1,642,000","4,336,000",
"2409  ","友達            ","0","14,000","-14,000","5,202,000","892,000","4,310,000","5,202,000","906,000","4,296,000",
"3481  ","群創            ","34,000","184,000","-150,000","5,689,000","1,803,000","3,886,000","5,723,000","1,987,000","3,736,000",
="061314","智原永豐6C購01  ","0","0","0","3,786,000","264,000","3,522,000","3,786,000","264,000","3,522,000",
="061524","第一金元富71購01","0","0","0","3,520,000","0","3,520,000","3,520,000","0","3,520,000",
="063221","智原元富71購01  ","0","0","0","3,847,000","336,000","3,511,000","3,847,000","336,000","3,511,000",
"2337  ","旺宏            ","4,793,000","1,450,000","3,343,000","0","16,000","-16,000","4,793,000","1,466,000","3,327,000",
"2303  ","聯電            ","62,000","172,000","-110,000","4,334,000","1,001,000","3,333,000","4,396,000","1,173,000","3,223,000",
"1312  ","國喬            ","1,362,000","138,000","1,224,000","2,049,000","245,000","1,804,000","3,411,000","383,000","3,028,000",
="059254","華新科元大6A購01","0","0","0","3,071,000","49,000","3,022,000","3,071,000","49,000","3,022,000",
="03465P","鎧勝群益6B售02  ","0","0","0","2,766,000","2,000","2,764,000","2,766,000","2,000","2,764,000",
="08948P","鎧勝凱基6A售02  ","0","0","0","2,895,000","200,000","2,695,000","2,895,000","200,000","2,695,000",
="059960","第一金元富6B購01","0","0","0","2,659,000","0","2,659,000","2,659,000","0","2,659,000",
="04096P","鴻海元大6C售16  ","0","0","0","2,950,000","300,000","2,650,000","2,950,000","300,000","2,650,000",
="061244","華新科台新6C購01","0","0","0","2,744,000","102,000","2,642,000","2,744,000","102,000","2,642,000",
="03741P","鎧勝凱基6C售01  ","0","0","0","2,765,000","320,000","2,445,000","2,765,000","320,000","2,445,000",
="060213","鴻海元大71購02  ","0","0","0","2,254,000","0","2,254,000","2,254,000","0","2,254,000",
="0061  ","元大寶滬深      ","80,000","0","80,000","2,124,000","55,000","2,069,000","2,204,000","55,000","2,149,000",
="062527","鴻海元大72購01  ","0","0","0","2,146,000","87,000","2,059,000","2,146,000","87,000","2,059,000",
="059591","緯創元大6A購01  ","0","0","0","2,312,000","299,000","2,013,000","2,312,000","299,000","2,013,000",
="056925","TPK中信6C購01   ","0","0","0","2,125,000","136,000","1,989,000","2,125,000","136,000","1,989,000",
="056638","景碩元大68購01  ","0","0","0","2,041,000","129,000","1,912,000","2,041,000","129,000","1,912,000",
="04333P","鎧勝凱基71售03  ","0","0","0","2,061,000","190,000","1,871,000","2,061,000","190,000","1,871,000",
="057762","上銀元富69購02  ","0","0","0","2,049,000","185,000","1,864,000","2,049,000","185,000","1,864,000",
"3189  ","景碩            ","197,000","25,000","172,000","1,728,000","110,000","1,618,000","1,925,000","135,000","1,790,000",
="063029","鴻準統一71購01  ","0","0","0","1,955,000","168,000","1,787,000","1,955,000","168,000","1,787,000",
="060139","GIS日盛6B購01   ","0","0","0","1,837,000","52,000","1,785,000","1,837,000","52,000","1,785,000",
="060821","TPK凱基6B購02   ","0","0","0","2,462,000","751,000","1,711,000","2,462,000","751,000","1,711,000",
="060408","鑽全永豐6B購02  ","0","0","0","2,974,000","1,369,000","1,605,000","2,974,000","1,369,000","1,605,000",
="057634","富邦金玉山69購01","0","0","0","1,584,000","0","1,584,000","1,584,000","0","1,584,000",
="08888P","榮成元富6A售02  ","0","0","0","1,570,000","0","1,570,000","1,570,000","0","1,570,000",
="04422P","創意統一71售02  ","0","0","0","1,626,000","86,000","1,540,000","1,626,000","86,000","1,540,000",
