"106年06月13日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00632R","元大台灣50反1   ","320,000","150,000","170,000","19,468,000","503,000","18,965,000","19,788,000","653,000","19,135,000",
="060516","敦泰元大71購01  ","0","0","0","5,422,000","552,000","4,870,000","5,422,000","552,000","4,870,000",
="055134","敦泰元大66購02  ","0","0","0","3,367,000","50,000","3,317,000","3,367,000","50,000","3,317,000",
="03091P","康友群益6B售02  ","0","0","0","2,800,000","48,000","2,752,000","2,800,000","48,000","2,752,000",
="055262","葡萄王群益67購01","0","0","0","2,517,000","20,000","2,497,000","2,517,000","20,000","2,497,000",
"2330  ","台積電          ","973,000","176,000","797,000","1,612,000","226,000","1,386,000","2,585,000","402,000","2,183,000",
="060755","南茂元大6B購01  ","0","0","0","3,267,000","1,105,000","2,162,000","3,267,000","1,105,000","2,162,000",
="07461P","台灣50群益68售01","0","0","0","2,071,000","0","2,071,000","2,071,000","0","2,071,000",
="060728","王品康和6B購01  ","0","0","0","2,804,000","919,000","1,885,000","2,804,000","919,000","1,885,000",
"8112  ","至上            ","95,000","1,000","94,000","1,778,000","37,000","1,741,000","1,873,000","38,000","1,835,000",
="03219P","創意元富6B售01  ","0","0","0","2,289,000","455,000","1,834,000","2,289,000","455,000","1,834,000",
="059652","群創玉山6A購01  ","0","0","0","2,204,000","370,000","1,834,000","2,204,000","370,000","1,834,000",
="061321","大同元大73購01  ","0","0","0","2,932,000","1,103,000","1,829,000","2,932,000","1,103,000","1,829,000",
="00648R","元大S&P500反1   ","0","0","0","1,799,000","10,000","1,789,000","1,799,000","10,000","1,789,000",
="055036","敦泰元富66購01  ","0","0","0","1,696,000","0","1,696,000","1,696,000","0","1,696,000",
"2892  ","第一金          ","1,704,000","0","1,704,000","0","23,000","-23,000","1,704,000","23,000","1,681,000",
="061234","南茂兆豐71購01  ","0","0","0","2,149,000","510,000","1,639,000","2,149,000","510,000","1,639,000",
="060471","智邦統一6B購02  ","0","0","0","2,101,000","469,000","1,632,000","2,101,000","469,000","1,632,000",
="060861","南茂凱基6B購01  ","0","0","0","1,804,000","253,000","1,551,000","1,804,000","253,000","1,551,000",
="0061  ","元大寶滬深      ","540,000","530,000","10,000","1,476,000","1,000","1,475,000","2,016,000","531,000","1,485,000",
="08764P","GIS群益6A售01   ","0","0","0","1,474,000","0","1,474,000","1,474,000","0","1,474,000",
="060953","卜蜂凱基6C購01  ","0","0","0","1,587,000","146,000","1,441,000","1,587,000","146,000","1,441,000",
="07872P","智邦統一69售02  ","0","0","0","1,540,000","100,000","1,440,000","1,540,000","100,000","1,440,000",
="054780","盟立元大67購02  ","0","0","0","1,449,000","30,000","1,419,000","1,449,000","30,000","1,419,000",
="059508","群創群益6A購07  ","0","0","0","2,226,000","834,000","1,392,000","2,226,000","834,000","1,392,000",
="061018","南茂元富6C購02  ","0","0","0","2,081,000","702,000","1,379,000","2,081,000","702,000","1,379,000",
="061357","大同元大6C購02  ","0","0","0","1,456,000","90,000","1,366,000","1,456,000","90,000","1,366,000",
