"106年07月03日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","0","0","0","24,839,000","1,384,000","23,455,000","24,839,000","1,384,000","23,455,000",
="061804","富邦金凱基6C購01","0","0","0","7,275,000","1,927,000","5,348,000","7,275,000","1,927,000","5,348,000",
="053768","台達電統一67購01","0","0","0","5,404,000","161,000","5,243,000","5,404,000","161,000","5,243,000",
="059036","富邦金元大6B購02","0","0","0","5,510,000","318,000","5,192,000","5,510,000","318,000","5,192,000",
"1314  ","中石化          ","1,035,000","0","1,035,000","4,814,000","1,106,000","3,708,000","5,849,000","1,106,000","4,743,000",
"2603  ","長榮            ","3,104,000","656,000","2,448,000","2,958,000","913,000","2,045,000","6,062,000","1,569,000","4,493,000",
="00642U","元大S&P石油     ","0","0","0","4,507,000","88,000","4,419,000","4,507,000","88,000","4,419,000",
"2317  ","鴻海            ","869,000","106,000","763,000","3,215,011","180,800","3,034,211","4,084,011","286,800","3,797,211",
="059520","富邦金凱基6A購05","0","0","0","5,360,000","1,563,000","3,797,000","5,360,000","1,563,000","3,797,000",
="060478","富邦金群益6B購05","0","0","0","3,715,000","0","3,715,000","3,715,000","0","3,715,000",
="054190","新光金永昌67購02","0","0","0","3,661,000","0","3,661,000","3,661,000","0","3,661,000",
="059152","國泰金統一6B購01","0","0","0","3,698,000","482,000","3,216,000","3,698,000","482,000","3,216,000",
="059280","富邦金永昌6A購01","0","0","0","3,304,000","262,000","3,042,000","3,304,000","262,000","3,042,000",
="060695","國泰金凱基6B購03","0","0","0","3,243,000","415,000","2,828,000","3,243,000","415,000","2,828,000",
="058527","富邦金凱基6A購01","0","0","0","2,887,000","60,000","2,827,000","2,887,000","60,000","2,827,000",
="061722","聯茂元大6C購01  ","0","0","0","3,091,000","443,000","2,648,000","3,091,000","443,000","2,648,000",
"2449  ","京元電子        ","830,000","0","830,000","1,744,000","37,000","1,707,000","2,574,000","37,000","2,537,000",
="08321P","聯電元大69售02  ","0","0","0","3,291,000","773,000","2,518,000","3,291,000","773,000","2,518,000",
="059301","友達元大6B購03  ","0","0","0","4,089,000","1,608,000","2,481,000","4,089,000","1,608,000","2,481,000",
="059420","敦泰日盛6C購01  ","0","0","0","2,511,000","35,000","2,476,000","2,511,000","35,000","2,476,000",
="059416","富邦金元富6A購04","0","0","0","2,409,000","0","2,409,000","2,409,000","0","2,409,000",
="059252","富邦金元大6C購01","0","0","0","4,317,000","1,953,000","2,364,000","4,317,000","1,953,000","2,364,000",
"6116  ","彩晶            ","1,791,000","1,032,000","759,000","2,903,000","1,309,000","1,594,000","4,694,000","2,341,000","2,353,000",
="055840","友達元大67購02  ","0","0","0","2,352,000","0","2,352,000","2,352,000","0","2,352,000",
="059446","富邦金統一6A購02","0","0","0","2,468,000","187,000","2,281,000","2,468,000","187,000","2,281,000",
="061358","富邦金元大6C購03","0","0","0","4,778,000","2,665,000","2,113,000","4,778,000","2,665,000","2,113,000",
="059419","富邦金日盛6A購02","0","0","0","2,591,000","495,000","2,096,000","2,591,000","495,000","2,096,000",
="059733","國泰金凱基6B購01","0","0","0","3,376,000","1,292,000","2,084,000","3,376,000","1,292,000","2,084,000",
="056865","元大金永昌68購01","0","0","0","2,402,000","464,000","1,938,000","2,402,000","464,000","1,938,000",
="059040","友達群益6A購01  ","0","0","0","2,195,000","282,000","1,913,000","2,195,000","282,000","1,913,000",
="058613","元油2X統一6C購01","0","0","0","2,095,000","183,000","1,912,000","2,095,000","183,000","1,912,000",
="055886","友達統一67購01  ","0","0","0","1,856,000","0","1,856,000","1,856,000","0","1,856,000",
="059161","富邦金凱基6A購03","0","0","0","2,428,000","597,000","1,831,000","2,428,000","597,000","1,831,000",
="056589","群創群益68購04  ","0","0","0","2,592,000","835,000","1,757,000","2,592,000","835,000","1,757,000",
="059865","國泰金元富6C購02","0","0","0","1,703,000","10,000","1,693,000","1,703,000","10,000","1,693,000",
"2337  ","旺宏            ","2,939,000","1,247,000","1,692,000","0","0","0","2,939,000","1,247,000","1,692,000",
"1303  ","南亞            ","13,000","20,000","-7,000","1,650,000","0","1,650,000","1,663,000","20,000","1,643,000",
"2356  ","英業達          ","199,000","30,000","169,000","1,616,000","173,000","1,443,000","1,815,000","203,000","1,612,000",
="03769P","聯電凱基6C售02  ","0","0","0","2,608,000","1,012,000","1,596,000","2,608,000","1,012,000","1,596,000",
"2883  ","開發金          ","25,000","0","25,000","2,584,000","1,022,000","1,562,000","2,609,000","1,022,000","1,587,000",
="056625","群創凱基68購01  ","0","0","0","1,593,000","30,000","1,563,000","1,593,000","30,000","1,563,000",
="0061  ","元大寶滬深      ","150,000","340,000","-190,000","2,148,000","406,000","1,742,000","2,298,000","746,000","1,552,000",
="060152","中砂凱基6B購01  ","0","0","0","1,832,000","338,000","1,494,000","1,832,000","338,000","1,494,000",
="056146","友達日盛67購02  ","0","0","0","1,464,000","0","1,464,000","1,464,000","0","1,464,000",
="060387","元油2X日盛6B購01","0","0","0","1,451,000","0","1,451,000","1,451,000","0","1,451,000",
="060953","卜蜂凱基6C購01  ","0","0","0","1,657,000","214,000","1,443,000","1,657,000","214,000","1,443,000",
"2891  ","中信金          ","2,091,000","146,000","1,945,000","43,000","584,000","-541,000","2,134,000","730,000","1,404,000",
="060119","國泰金元大6C購02","0","0","0","1,698,000","351,000","1,347,000","1,698,000","351,000","1,347,000",
="060046","南亞科凱基6B購01","0","0","0","1,350,000","7,000","1,343,000","1,350,000","7,000","1,343,000",
="061238","上証2X元大6C購02","0","0","0","1,501,000","164,000","1,337,000","1,501,000","164,000","1,337,000",
="058552","富邦金元大6A購01","0","0","0","1,495,000","216,000","1,279,000","1,495,000","216,000","1,279,000",
="060103","元油2X群益6B購01","0","0","0","1,454,000","182,000","1,272,000","1,454,000","182,000","1,272,000",
="057587","富邦金群益69購01","0","0","0","1,256,000","0","1,256,000","1,256,000","0","1,256,000",
="059599","富邦金兆豐6B購01","0","0","0","1,328,000","73,000","1,255,000","1,328,000","73,000","1,255,000",
="08585P","台積電統一69售02","0","0","0","1,343,000","92,000","1,251,000","1,343,000","92,000","1,251,000",
="061754","廣宇統一6C購01  ","0","0","0","1,602,000","359,000","1,243,000","1,602,000","359,000","1,243,000",
="060083","元油2X元富6C購02","0","0","0","1,540,000","311,000","1,229,000","1,540,000","311,000","1,229,000",
="058437","中壽凱基6A購01  ","0","0","0","1,501,000","285,000","1,216,000","1,501,000","285,000","1,216,000",
="054578","友達永昌67購02  ","0","0","0","1,215,000","0","1,215,000","1,215,000","0","1,215,000",
="056488","友達元大68購05  ","0","0","0","1,484,000","283,000","1,201,000","1,484,000","283,000","1,201,000",
="00676R","富邦臺灣加權反1 ","0","0","0","4,392,000","3,203,000","1,189,000","4,392,000","3,203,000","1,189,000",
="057954","元油2X元大69購03","0","0","0","1,187,000","0","1,187,000","1,187,000","0","1,187,000",
"2618  ","長榮航          ","760,000","300,000","460,000","1,503,000","780,000","723,000","2,263,000","1,080,000","1,183,000",
="058115","國泰金元大6B購01","0","0","0","1,635,000","480,000","1,155,000","1,635,000","480,000","1,155,000",
="055185","上証2X永昌67購02","0","0","0","1,194,000","40,000","1,154,000","1,194,000","40,000","1,154,000",
="061806","利勤凱基6C購01  ","0","0","0","1,749,000","610,000","1,139,000","1,749,000","610,000","1,139,000",
="061425","富邦金永昌6C購01","0","0","0","1,358,000","221,000","1,137,000","1,358,000","221,000","1,137,000",
="060367","台郡永昌6C購01  ","0","0","0","1,249,000","113,000","1,136,000","1,249,000","113,000","1,136,000",
"1101  ","台泥            ","32,000","100,000","-68,000","1,218,000","18,000","1,200,000","1,250,000","118,000","1,132,000",
="057894","中信金統一6B購01","0","0","0","1,277,000","151,000","1,126,000","1,277,000","151,000","1,126,000",
="058543","利勤元大6B購01  ","0","0","0","2,178,000","1,055,000","1,123,000","2,178,000","1,055,000","1,123,000",
="060199","中砂元大6B購02  ","0","0","0","1,195,000","105,000","1,090,000","1,195,000","105,000","1,090,000",
="03540P","聯電富邦6B售01  ","0","0","0","1,156,000","73,000","1,083,000","1,156,000","73,000","1,083,000",
="057829","元油2X群益69購03","0","0","0","1,079,000","0","1,079,000","1,079,000","0","1,079,000",
="057940","國泰金台新6C購01","0","0","0","1,053,000","1,000","1,052,000","1,053,000","1,000","1,052,000",
="055336","台達電群益69購01","0","0","0","1,030,000","0","1,030,000","1,030,000","0","1,030,000",
="056497","中鋼兆豐68購01  ","0","0","0","1,042,000","13,000","1,029,000","1,042,000","13,000","1,029,000",
="060037","全新元大72購01  ","0","0","0","1,128,000","103,000","1,025,000","1,128,000","103,000","1,025,000",
="054988","友達群益67購02  ","0","0","0","1,000,000","0","1,000,000","1,000,000","0","1,000,000",
="061503","FH滬深凱基6C購01","0","0","0","998,000","0","998,000","998,000","0","998,000",
="061815","富邦金日盛71購01","0","0","0","1,470,000","475,000","995,000","1,470,000","475,000","995,000",
="056830","敦泰群益69購01  ","0","0","0","997,000","8,000","989,000","997,000","8,000","989,000",
="062028","聯發科兆豐71購06","0","0","0","1,342,000","358,000","984,000","1,342,000","358,000","984,000",
="058394","中石化國泰69購01","0","0","0","1,272,000","290,000","982,000","1,272,000","290,000","982,000",
="061695","台光電永豐6C購01","0","0","0","1,119,000","149,000","970,000","1,119,000","149,000","970,000",
="056284","利勤元大6A購01  ","0","0","0","2,109,000","1,142,000","967,000","2,109,000","1,142,000","967,000",
="060557","國泰金群益6B購01","0","0","0","1,148,000","185,000","963,000","1,148,000","185,000","963,000",
