"106年07月31日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","0","0","0","31,921,000","459,000","31,462,000","31,921,000","459,000","31,462,000",
="00642U","元大S&P石油     ","0","0","0","7,743,000","152,000","7,591,000","7,743,000","152,000","7,591,000",
"6116  ","彩晶            ","130,000","0","130,000","5,570,000","310,000","5,260,000","5,700,000","310,000","5,390,000",
"2834  ","臺企銀          ","1,862,000","0","1,862,000","2,990,000","1,253","2,988,747","4,852,000","1,253","4,850,747",
"1605  ","華新            ","739,000","79,000","660,000","4,500,000","561,000","3,939,000","5,239,000","640,000","4,599,000",
="057266","元油2X統一6A購01","0","0","0","3,878,000","0","3,878,000","3,878,000","0","3,878,000",
"2603  ","長榮            ","2,772,000","100,000","2,672,000","1,113,000","558,000","555,000","3,885,000","658,000","3,227,000",
="07902P","可成富邦69售01  ","0","0","0","2,585,000","0","2,585,000","2,585,000","0","2,585,000",
="061648","大成群益6C購01  ","0","0","0","2,602,000","50,000","2,552,000","2,602,000","50,000","2,552,000",
"2892  ","第一金          ","846,000","0","846,000","1,647,000","1,000","1,646,000","2,493,000","1,000","2,492,000",
"1909  ","榮成            ","75,000","37,000","38,000","2,643,000","278,000","2,365,000","2,718,000","315,000","2,403,000",
="055178","振樺電元大69購01","0","0","0","2,111,000","0","2,111,000","2,111,000","0","2,111,000",
="056075","大同日盛68購01  ","0","0","0","2,036,000","0","2,036,000","2,036,000","0","2,036,000",
="061318","上銀元大6C購02  ","0","0","0","2,533,000","512,000","2,021,000","2,533,000","512,000","2,021,000",
"3481  ","群創            ","52,000","515,000","-463,000","3,782,000","1,404,000","2,378,000","3,834,000","1,919,000","1,915,000",
="056007","大同群益68購02  ","0","0","0","2,602,000","738,000","1,864,000","2,602,000","738,000","1,864,000",
="08765P","大立光群益6B售07","0","0","0","1,721,000","0","1,721,000","1,721,000","0","1,721,000",
"2409  ","友達            ","0","243,000","-243,000","2,076,000","212,000","1,864,000","2,076,000","455,000","1,621,000",
="060153","台郡凱基6B購02  ","0","0","0","1,881,000","365,000","1,516,000","1,881,000","365,000","1,516,000",
