"106年06月09日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00637L","元大滬深300正2  ","0","200,000","-200,000","48,149,000","12,275,000","35,874,000","48,149,000","12,475,000","35,674,000",
="00633L","富邦上証正2     ","430,000","1,797,000","-1,367,000","22,786,000","3,091,000","19,695,000","23,216,000","4,888,000","18,328,000",
"2371  ","大同            ","832,000","102,000","730,000","7,679,000","641,000","7,038,000","8,511,000","743,000","7,768,000",
="00632R","元大台灣50反1   ","4,550,000","450,000","4,100,000","8,185,000","4,793,000","3,392,000","12,735,000","5,243,000","7,492,000",
"6116  ","彩晶            ","848,000","358,000","490,000","4,750,000","1,179,000","3,571,000","5,598,000","1,537,000","4,061,000",
"3231  ","緯創            ","1,140,000","98,000","1,042,000","2,713,000","224,000","2,489,000","3,853,000","322,000","3,531,000",
="059877","美律統一6B購04  ","0","0","0","3,775,000","795,000","2,980,000","3,775,000","795,000","2,980,000",
="057117","敦泰群益69購02  ","0","0","0","2,813,000","273,000","2,540,000","2,813,000","273,000","2,540,000",
="059481","T50反1兆豐74購01","0","0","0","2,400,000","0","2,400,000","2,400,000","0","2,400,000",
="0056  ","元大高股息      ","0","0","0","2,030,000","0","2,030,000","2,030,000","0","2,030,000",
="051770","和大元大66購02  ","0","0","0","1,782,000","0","1,782,000","1,782,000","0","1,782,000",
="07501P","宏達電元大67售05","0","0","0","1,738,000","0","1,738,000","1,738,000","0","1,738,000",
="006205","富邦上証        ","303,000","0","303,000","2,149,000","799,000","1,350,000","2,452,000","799,000","1,653,000",
"1303  ","南亞            ","0","3,000","-3,000","1,642,000","5,000","1,637,000","1,642,000","8,000","1,634,000",
="060338","友達凱基6B購03  ","0","0","0","5,233,000","3,621,000","1,612,000","5,233,000","3,621,000","1,612,000",
"2884  ","玉山金          ","1,750,000","101,000","1,649,000","0","73,000","-73,000","1,750,000","174,000","1,576,000",
="059981","敦泰永豐6C購01  ","0","0","0","1,610,000","70,000","1,540,000","1,610,000","70,000","1,540,000",
"3380  ","明泰            ","27,000","2,000","25,000","1,785,000","283,000","1,502,000","1,812,000","285,000","1,527,000",
="055834","深100永豐68購01 ","0","0","0","1,528,000","10,000","1,518,000","1,528,000","10,000","1,518,000",
="057803","敦泰兆豐6B購01  ","0","0","0","1,514,000","10,000","1,504,000","1,514,000","10,000","1,504,000",
="07747P","緯創統一67售03  ","0","0","0","1,596,000","130,000","1,466,000","1,596,000","130,000","1,466,000",
="060170","台郡群益6B購01  ","0","0","0","2,036,000","629,000","1,407,000","2,036,000","629,000","1,407,000",
="060819","群創凱基6B購06  ","0","0","0","1,970,000","570,000","1,400,000","1,970,000","570,000","1,400,000",
="057276","美律元大68購02  ","0","0","0","1,614,000","217,000","1,397,000","1,614,000","217,000","1,397,000",
="059003","T50反1中信74購01","0","0","0","1,800,000","450,000","1,350,000","1,800,000","450,000","1,350,000",
="060493","美律統一6B購06  ","0","0","0","1,369,000","55,000","1,314,000","1,369,000","55,000","1,314,000",
"2891  ","中信金          ","1,400,000","2,000","1,398,000","353,000","448,000","-95,000","1,753,000","450,000","1,303,000",
="056688","聯發科兆豐68購01","0","0","0","1,298,000","13,000","1,285,000","1,298,000","13,000","1,285,000",
="061056","可成元大6C購01  ","0","0","0","2,257,000","982,000","1,275,000","2,257,000","982,000","1,275,000",
="059034","為升元大6A購02  ","0","0","0","1,271,000","39,000","1,232,000","1,271,000","39,000","1,232,000",
="058978","美律元大6A購04  ","0","0","0","1,455,000","263,000","1,192,000","1,455,000","263,000","1,192,000",
="057339","亞光元大68購05  ","0","0","0","1,487,000","300,000","1,187,000","1,487,000","300,000","1,187,000",
="054818","晶豪科元大69購01","0","0","0","1,205,000","34,000","1,171,000","1,205,000","34,000","1,171,000",
="060037","全新元大72購01  ","0","0","0","1,451,000","287,000","1,164,000","1,451,000","287,000","1,164,000",
="054808","深100群益68購01 ","0","0","0","1,199,000","56,000","1,143,000","1,199,000","56,000","1,143,000",
="057244","深100富邦6A購01 ","0","0","0","1,281,000","174,000","1,107,000","1,281,000","174,000","1,107,000",
="060203","宏全元大6B購01  ","0","0","0","2,186,000","1,080,000","1,106,000","2,186,000","1,080,000","1,106,000",
="059023","華邦電統一6B購02","0","0","0","2,001,000","902,000","1,099,000","2,001,000","902,000","1,099,000",
="060935","長榮統一6C購01  ","0","0","0","1,186,000","90,000","1,096,000","1,186,000","90,000","1,096,000",
="059089","大立光統一6C購04","0","0","0","1,246,000","161,000","1,085,000","1,246,000","161,000","1,085,000",
="060822","GIS凱基6B購06   ","0","0","0","1,117,000","37,000","1,080,000","1,117,000","37,000","1,080,000",
="03087P","嘉澤元富6C售01  ","0","0","0","1,111,000","38,000","1,073,000","1,111,000","38,000","1,073,000",
="060602","貿聯統一6C購01  ","0","0","0","1,192,000","136,000","1,056,000","1,192,000","136,000","1,056,000",
="03466P","台灣50元大72售01","0","0","0","1,090,000","59,000","1,031,000","1,090,000","59,000","1,031,000",
="059920","國巨國票6C購01  ","0","0","0","1,279,000","249,000","1,030,000","1,279,000","249,000","1,030,000",
="060694","美律凱基6B購02  ","0","0","0","1,087,000","66,000","1,021,000","1,087,000","66,000","1,021,000",
="056984","大立光兆豐69購05","0","0","0","1,028,000","11,000","1,017,000","1,028,000","11,000","1,017,000",
="08629P","國喬富邦6A售01  ","0","0","0","1,016,000","0","1,016,000","1,016,000","0","1,016,000",
="057189","美律凱基68購03  ","0","0","0","1,135,000","131,000","1,004,000","1,135,000","131,000","1,004,000",
="057399","亞光元大69購01  ","0","0","0","1,433,000","430,000","1,003,000","1,433,000","430,000","1,003,000",
="060999","台光電兆豐71購01","0","0","0","1,047,000","45,000","1,002,000","1,047,000","45,000","1,002,000",
="060082","鴻海兆豐71購03  ","0","0","0","1,060,000","61,000","999,000","1,060,000","61,000","999,000",
="055020","瑞智永豐66購01  ","0","0","0","998,000","0","998,000","998,000","0","998,000",
="059022","美律統一6B購02  ","0","0","0","1,002,000","6,000","996,000","1,002,000","6,000","996,000",
="055893","儒鴻統一69購01  ","0","0","0","1,251,000","257,000","994,000","1,251,000","257,000","994,000",
="055542","台苯群益68購02  ","0","0","0","980,000","0","980,000","980,000","0","980,000",
="08866P","臺股指元富6A售03","0","0","0","990,000","10,000","980,000","990,000","10,000","980,000",
"2882  ","國泰金          ","1,145,000","0","1,145,000","2,000","167,000","-165,000","1,147,000","167,000","980,000",
="056586","宏達電群益68購03","0","0","0","1,026,000","51,000","975,000","1,026,000","51,000","975,000",
="059775","國巨元富6C購01  ","0","0","0","2,437,000","1,467,000","970,000","2,437,000","1,467,000","970,000",
="060209","深100元大6C購02 ","0","0","0","990,000","21,000","969,000","990,000","21,000","969,000",
="00636 ","國泰中國A50     ","74,000","0","74,000","1,752,000","858,000","894,000","1,826,000","858,000","968,000",
="058916","矽格元富6B購01  ","0","0","0","976,000","19,000","957,000","976,000","19,000","957,000",
="057349","亞光凱基68購04  ","0","0","0","1,276,000","320,000","956,000","1,276,000","320,000","956,000",
="059983","中租統一6B購01  ","0","0","0","1,571,000","617,000","954,000","1,571,000","617,000","954,000",
="08983P","為升群益6A售05  ","0","0","0","944,000","0","944,000","944,000","0","944,000",
="052677","S&P反1統一66購01","0","0","0","939,000","0","939,000","939,000","0","939,000",
="059126","超眾台新71購01  ","0","0","0","915,000","0","915,000","915,000","0","915,000",
="056162","臺股指凱基67購05","0","0","0","910,000","0","910,000","910,000","0","910,000",
"8150  ","南茂            ","471,000","300,000","171,000","1,464,000","725,000","739,000","1,935,000","1,025,000","910,000",
="059735","群創凱基6B購01  ","0","0","0","1,098,000","189,000","909,000","1,098,000","189,000","909,000",
="060622","美律元大71購01  ","0","0","0","1,057,000","151,000","906,000","1,057,000","151,000","906,000",
="059820","為升元富6B購01  ","0","0","0","997,000","96,000","901,000","997,000","96,000","901,000",
="059736","群創凱基6B購02  ","0","0","0","908,000","10,000","898,000","908,000","10,000","898,000",
="061102","深100元大72購01 ","0","0","0","1,092,000","203,000","889,000","1,092,000","203,000","889,000",
="03586P","佳世達群益6C售01","0","0","0","1,121,000","236,000","885,000","1,121,000","236,000","885,000",
="058182","台積電統一6C購02","0","0","0","1,148,000","267,000","881,000","1,148,000","267,000","881,000",
="056479","群創統一6A購02  ","0","0","0","1,617,000","739,000","878,000","1,617,000","739,000","878,000",
="03422P","瑞儀富邦6B售01  ","0","0","0","875,000","0","875,000","875,000","0","875,000",
