"106年05月22日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","0","0","0","17,701,000","883,000","16,818,000","17,701,000","883,000","16,818,000",
="00642U","元大S&P石油     ","0","80,000","-80,000","6,754,000","758,000","5,996,000","6,754,000","838,000","5,916,000",
="00637L","元大滬深300正2  ","770,000","750,000","20,000","9,078,000","5,037,000","4,041,000","9,848,000","5,787,000","4,061,000",
="00633L","富邦上証正2     ","80,000","230,000","-150,000","4,429,000","1,195,000","3,234,000","4,509,000","1,425,000","3,084,000",
"2337  ","旺宏            ","2,790,000","0","2,790,000","0","0","0","2,790,000","0","2,790,000",
="053276","元石油統一68購01","0","0","0","2,566,000","20,000","2,546,000","2,566,000","20,000","2,546,000",
="07357P","臺股指群益66售22","0","0","0","2,010,000","0","2,010,000","2,010,000","0","2,010,000",
="054017","新光金日盛65購01","0","0","0","1,895,000","0","1,895,000","1,895,000","0","1,895,000",
"1303  ","南亞            ","57,000","0","57,000","1,761,000","14,378","1,746,622","1,818,000","14,378","1,803,622",
="060038","啟碁元大6B購02  ","0","0","0","1,981,000","323,000","1,658,000","1,981,000","323,000","1,658,000",
="059793","GIS群益6C購01   ","0","0","0","1,902,000","250,000","1,652,000","1,902,000","250,000","1,652,000",
"2892  ","第一金          ","1,600,000","0","1,600,000","0","0","0","1,600,000","0","1,600,000",
="050743","友達玉山65購01  ","0","0","0","1,579,000","0","1,579,000","1,579,000","0","1,579,000",
="051777","富邦金元大66購01","0","0","0","1,400,000","0","1,400,000","1,400,000","0","1,400,000",
="059985","彩晶統一6B購02  ","0","0","0","1,413,000","18,000","1,395,000","1,413,000","18,000","1,395,000",
"1305  ","華夏            ","728,000","50,000","678,000","721,000","10,000","711,000","1,449,000","60,000","1,389,000",
