"106年07月04日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="00672L","元大S&P原油正2  ","3,294,000","150,000","3,144,000","34,715,000","968,000","33,747,000","38,009,000","1,118,000","36,891,000",
"2883  ","開發金          ","3,545,000","400,000","3,145,000","18,677,000","100,000","18,577,000","22,222,000","500,000","21,722,000",
="00642U","元大S&P石油     ","0","0","0","8,383,000","894,000","7,489,000","8,383,000","894,000","7,489,000",
"2891  ","中信金          ","3,972,000","230,000","3,742,000","2,587,000","373,000","2,214,000","6,559,000","603,000","5,956,000",
="054613","滬深2X群益68購01","0","0","0","4,384,000","649,000","3,735,000","4,384,000","649,000","3,735,000",
"2885  ","元大金          ","0","969,000","-969,000","5,132,000","858,000","4,274,000","5,132,000","1,827,000","3,305,000",
="059808","綠悅元大6B購02  ","0","0","0","3,200,000","151,000","3,049,000","3,200,000","151,000","3,049,000",
="055174","台達電元大69購02","0","0","0","2,834,000","100,000","2,734,000","2,834,000","100,000","2,734,000",
="08594P","聯發科元大69售05","0","0","0","2,729,000","0","2,729,000","2,729,000","0","2,729,000",
="061529","京元電元大6C購02","0","0","0","2,826,000","142,000","2,684,000","2,826,000","142,000","2,684,000",
"2002  ","中鋼            ","1,228,000","132,000","1,096,000","1,745,000","229,000","1,516,000","2,973,000","361,000","2,612,000",
="058083","允強凱基69購01  ","0","0","0","2,530,000","10,000","2,520,000","2,530,000","10,000","2,520,000",
="058125","京元電凱基69購02","0","0","0","2,635,000","163,000","2,472,000","2,635,000","163,000","2,472,000",
="059420","敦泰日盛6C購01  ","0","0","0","2,515,000","85,000","2,430,000","2,515,000","85,000","2,430,000",
="061603","元石油統一72購01","0","0","0","2,305,000","7,000","2,298,000","2,305,000","7,000","2,298,000",
="0061  ","元大寶滬深      ","100,000","100,000","0","2,662,000","490,000","2,172,000","2,762,000","590,000","2,172,000",
="058379","允強元大69購01  ","0","0","0","2,247,000","178,000","2,069,000","2,247,000","178,000","2,069,000",
="08320P","華通元大69售02  ","0","0","0","2,060,000","0","2,060,000","2,060,000","0","2,060,000",
="08298P","聯電中信6B售02  ","0","0","0","2,173,000","130,000","2,043,000","2,173,000","130,000","2,043,000",
="03464C","大立光凱基68牛06","0","0","0","2,491,000","502,000","1,989,000","2,491,000","502,000","1,989,000",
="057954","元油2X元大69購03","0","0","0","1,889,000","0","1,889,000","1,889,000","0","1,889,000",
"1904  ","正隆            ","31,000","18,000","13,000","1,856,000","52,000","1,804,000","1,887,000","70,000","1,817,000",
"1303  ","南亞            ","37,000","0","37,000","1,821,000","50,000","1,771,000","1,858,000","50,000","1,808,000",
"2888  ","新光金          ","50,000","0","50,000","1,826,000","199,000","1,627,000","1,876,000","199,000","1,677,000",
="00632R","元大台灣50反1   ","400,000","355,000","45,000","5,346,000","3,763,000","1,583,000","5,746,000","4,118,000","1,628,000",
="061483","大立光統一71購01","0","0","0","2,400,000","787,000","1,613,000","2,400,000","787,000","1,613,000",
="03726P","聯發科元大6C售06","0","0","0","2,282,000","671,000","1,611,000","2,282,000","671,000","1,611,000",
="054642","滬深2X國泰68購01","0","0","0","1,508,000","0","1,508,000","1,508,000","0","1,508,000",
="057048","中壽日盛68購01  ","0","0","0","1,498,000","0","1,498,000","1,498,000","0","1,498,000",
="060385","綠悅凱基6B購01  ","0","0","0","1,544,000","75,000","1,469,000","1,544,000","75,000","1,469,000",
="061582","新日興元大6C購03","0","0","0","1,515,000","66,000","1,449,000","1,515,000","66,000","1,449,000",
="07872P","智邦統一69售02  ","0","0","0","1,439,000","0","1,439,000","1,439,000","0","1,439,000",
="08393P","上証2X群益69售01","0","0","0","1,400,000","0","1,400,000","1,400,000","0","1,400,000",
="060492","大立光統一6C購07","0","0","0","1,504,000","118,000","1,386,000","1,504,000","118,000","1,386,000",
="059657","永冠富邦6C購01  ","0","0","0","1,495,000","122,000","1,373,000","1,495,000","122,000","1,373,000",
="056164","大同群益68購07  ","0","0","0","1,295,000","0","1,295,000","1,295,000","0","1,295,000",
="060557","國泰金群益6B購01","0","0","0","1,532,000","246,000","1,286,000","1,532,000","246,000","1,286,000",
="060003","英業達元大6B購01","0","0","0","1,351,000","75,000","1,276,000","1,351,000","75,000","1,276,000",
="059681","友達永豐6B購02  ","0","0","0","1,652,000","384,000","1,268,000","1,652,000","384,000","1,268,000",
="03063P","聯電群益6A售02  ","0","0","0","1,487,000","220,000","1,267,000","1,487,000","220,000","1,267,000",
="055390","櫻花永豐68購01  ","0","0","0","1,268,000","10,000","1,258,000","1,268,000","10,000","1,258,000",
="03058P","群創凱基6A售03  ","0","0","0","1,354,000","123,000","1,231,000","1,354,000","123,000","1,231,000",
"2603  ","長榮            ","1,954,000","1,152,000","802,000","2,898,000","2,474,000","424,000","4,852,000","3,626,000","1,226,000",
="059520","富邦金凱基6A購05","0","0","0","6,385,000","5,170,000","1,215,000","6,385,000","5,170,000","1,215,000",
="061661","中石化凱基6C購01","0","0","0","1,593,000","379,000","1,214,000","1,593,000","379,000","1,214,000",
"2615  ","萬海            ","1,290,000","80,000","1,210,000","0","0","0","1,290,000","80,000","1,210,000",
"1305  ","華夏            ","1,449,000","678,000","771,000","620,000","211,000","409,000","2,069,000","889,000","1,180,000",
="058553","晶豪科元大71購01","0","0","0","1,164,000","4,000","1,160,000","1,164,000","4,000","1,160,000",
="057022","友達永豐69購02  ","0","0","0","1,401,000","270,000","1,131,000","1,401,000","270,000","1,131,000",
="056284","利勤元大6A購01  ","0","0","0","1,148,000","20,000","1,128,000","1,148,000","20,000","1,128,000",
="057266","元油2X統一6A購01","0","0","0","1,122,000","0","1,122,000","1,122,000","0","1,122,000",
="03782P","台灣50國泰6C售02","0","0","0","1,309,000","190,000","1,119,000","1,309,000","190,000","1,119,000",
="03540P","聯電富邦6B售01  ","0","0","0","1,396,000","290,000","1,106,000","1,396,000","290,000","1,106,000",
="061749","元油2X凱基6C購01","0","0","0","1,088,000","10,000","1,078,000","1,088,000","10,000","1,078,000",
="056283","利勤元大69購01  ","0","0","0","1,100,000","30,000","1,070,000","1,100,000","30,000","1,070,000",
="056120","中壽日盛67購01  ","0","0","0","1,061,000","10,000","1,051,000","1,061,000","10,000","1,051,000",
="08995P","廣宇國泰6A售01  ","0","0","0","1,048,000","0","1,048,000","1,048,000","0","1,048,000",
="056897","中工元大68購02  ","0","0","0","1,040,000","4,000","1,036,000","1,040,000","4,000","1,036,000",
="055438","寶成元大6A購02  ","0","0","0","2,227,000","1,198,000","1,029,000","2,227,000","1,198,000","1,029,000",
="061448","聯發科凱基6C購01","0","0","0","3,100,000","2,081,000","1,019,000","3,100,000","2,081,000","1,019,000",
="059152","國泰金統一6B購01","0","0","0","1,505,000","489,000","1,016,000","1,505,000","489,000","1,016,000",
="03358P","台積電兆豐6C售02","0","0","0","1,008,000","0","1,008,000","1,008,000","0","1,008,000",
="061880","順德永豐6C購01  ","0","0","0","1,089,000","82,000","1,007,000","1,089,000","82,000","1,007,000",
="060158","敦泰凱基6B購02  ","0","0","0","2,070,000","1,065,000","1,005,000","2,070,000","1,065,000","1,005,000",
="055188","億豐國泰68購01  ","0","0","0","1,214,000","222,000","992,000","1,214,000","222,000","992,000",
="056747","金融類元大68購03","0","0","0","990,000","0","990,000","990,000","0","990,000",
="057783","元油2X凱基69購02","0","0","0","985,000","0","985,000","985,000","0","985,000",
"2371  ","大同            ","227,000","30,000","197,000","979,000","195,000","784,000","1,206,000","225,000","981,000",
="061343","敦泰元富6C購01  ","0","0","0","1,004,000","30,000","974,000","1,004,000","30,000","974,000",
="060619","京元電元大6C購01","0","0","0","1,226,000","253,000","973,000","1,226,000","253,000","973,000",
="060882","長榮永豐6B購01  ","0","0","0","1,868,000","909,000","959,000","1,868,000","909,000","959,000",
="062119","中石化兆豐6C購01","0","0","0","1,130,000","178,000","952,000","1,130,000","178,000","952,000",
"1101  ","台泥            ","22,000","235,000","-213,000","1,223,000","65,000","1,158,000","1,245,000","300,000","945,000",
="059854","敦泰兆豐6C購01  ","0","0","0","1,207,000","265,000","942,000","1,207,000","265,000","942,000",
="08793P","上銀統一6A售02  ","0","0","0","1,065,000","126,000","939,000","1,065,000","126,000","939,000",
="058543","利勤元大6B購01  ","0","0","0","991,000","53,000","938,000","991,000","53,000","938,000",
="03769P","聯電凱基6C售02  ","0","0","0","2,748,000","1,815,000","933,000","2,748,000","1,815,000","933,000",
="061432","滬深2X永豐6C購02","0","0","0","995,000","85,000","910,000","995,000","85,000","910,000",
="060746","和碩凱基6B購01  ","0","0","0","1,233,000","324,000","909,000","1,233,000","324,000","909,000",
="056689","T50反1中信68購02","0","0","0","908,000","0","908,000","908,000","0","908,000",
"1464  ","得力            ","57,000","30,000","27,000","1,028,000","150,000","878,000","1,085,000","180,000","905,000",
="059809","綠悅元大6C購01  ","0","0","0","909,000","8,000","901,000","909,000","8,000","901,000",
="060069","元油2X統一71購01","0","0","0","1,210,000","311,000","899,000","1,210,000","311,000","899,000",
="060192","GIS永豐6C購02   ","0","0","0","1,059,000","165,000","894,000","1,059,000","165,000","894,000",
="03247P","和碩元大71售01  ","0","0","0","891,000","0","891,000","891,000","0","891,000",
="055423","正新元大6A購02  ","0","0","0","898,000","10,000","888,000","898,000","10,000","888,000",
="057066","敦泰元大6A購01  ","0","0","0","1,215,000","328,000","887,000","1,215,000","328,000","887,000",
"1319  ","東陽            ","489,000","132,000","357,000","826,000","298,000","528,000","1,315,000","430,000","885,000",
="061340","可成統一71購02  ","0","0","0","1,137,000","253,000","884,000","1,137,000","253,000","884,000",
="062174","群創凱基6C購03  ","0","0","0","874,000","0","874,000","874,000","0","874,000",
="056281","T50反1元大6A購01","0","0","0","862,000","5,000","857,000","862,000","5,000","857,000",
="061463","聯發科元大6C購05","0","0","0","1,559,000","703,000","856,000","1,559,000","703,000","856,000",
="08321P","聯電元大69售02  ","0","0","0","2,020,000","1,166,000","854,000","2,020,000","1,166,000","854,000",
="061755","台積電統一73購04","0","0","0","2,224,000","1,381,000","843,000","2,224,000","1,381,000","843,000",
="060893","中石化永昌6B購01","0","0","0","1,242,000","402,000","840,000","1,242,000","402,000","840,000",
="03547P","聯發科元大6B售07","0","0","0","945,000","111,000","834,000","945,000","111,000","834,000",
="055891","東陽日盛6A購01  ","0","0","0","891,000","60,000","831,000","891,000","60,000","831,000",
="058423","京元電元富6B購01","0","0","0","949,000","122,000","827,000","949,000","122,000","827,000",
="058248","華固永豐69購01  ","0","0","0","1,168,000","346,000","822,000","1,168,000","346,000","822,000",
="060235","敦泰兆豐6C購02  ","0","0","0","990,000","169,000","821,000","990,000","169,000","821,000",
="00634R","富邦上証反1     ","0","0","0","830,000","10,000","820,000","830,000","10,000","820,000",
="057587","富邦金群益69購01","0","0","0","824,000","5,000","819,000","824,000","5,000","819,000",
="056304","大成凱基68購01  ","0","0","0","1,691,000","874,000","817,000","1,691,000","874,000","817,000",
="061542","東聯中信6C購01  ","0","0","0","800,000","0","800,000","800,000","0","800,000",
="058486","亞翔元大71購01  ","0","0","0","996,000","200,000","796,000","996,000","200,000","796,000",
="059852","國泰金兆豐6B購01","0","0","0","846,000","50,000","796,000","846,000","50,000","796,000",
="055216","櫻花元大69購01  ","0","0","0","946,000","154,000","792,000","946,000","154,000","792,000",
="060254","和大群益6B購02  ","0","0","0","1,065,000","283,000","782,000","1,065,000","283,000","782,000",
="060079","滬深2X兆豐6B購01","0","0","0","854,000","74,000","780,000","854,000","74,000","780,000",
="061688","鎧勝群益6C購01  ","0","0","0","1,097,000","319,000","778,000","1,097,000","319,000","778,000",
="061956","鴻海統一73購02  ","0","0","0","4,669,000","3,903,000","766,000","4,669,000","3,903,000","766,000",
"2605  ","新興            ","297,000","4,000","293,000","563,000","96,000","467,000","860,000","100,000","760,000",
="058608","南茂日盛6A購01  ","0","0","0","853,000","95,000","758,000","853,000","95,000","758,000",
"2303  ","聯電            ","367,000","168,000","199,000","1,218,000","659,000","559,000","1,585,000","827,000","758,000",
="062081","臻鼎元大71購02  ","0","0","0","1,337,000","582,000","755,000","1,337,000","582,000","755,000",
="08750P","鴻海富邦6C售02  ","0","0","0","880,000","128,000","752,000","880,000","128,000","752,000",
="057273","利勤元大68購03  ","0","0","0","750,000","0","750,000","750,000","0","750,000",
="054718","中石化群益69購01","0","0","0","1,239,000","493,000","746,000","1,239,000","493,000","746,000",
="062179","儒鴻凱基6C購03  ","0","0","0","1,169,000","423,000","746,000","1,169,000","423,000","746,000",
="03602P","台灣50國泰6C售01","0","0","0","1,070,000","325,000","745,000","1,070,000","325,000","745,000",
="057807","長榮永豐69購01  ","0","0","0","926,000","181,000","745,000","926,000","181,000","745,000",
="055720","友達統一69購01  ","0","0","0","1,650,000","906,000","744,000","1,650,000","906,000","744,000",
="03286P","台積電國泰6C售01","0","0","0","899,000","157,000","742,000","899,000","157,000","742,000",
="057616","元油2X群益69購01","0","0","0","941,000","200,000","741,000","941,000","200,000","741,000",
="060384","群創凱基6B購05  ","0","0","0","1,045,000","305,000","740,000","1,045,000","305,000","740,000",
="057328","華固國泰68購01  ","0","0","0","1,052,000","320,000","732,000","1,052,000","320,000","732,000",
="03466P","台灣50元大72售01","0","0","0","736,000","5,000","731,000","736,000","5,000","731,000",
="03396P","臺股指康和6B售04","0","0","0","896,000","167,000","729,000","896,000","167,000","729,000",
="00643 ","群益深証中小    ","0","170,000","-170,000","1,225,000","328,000","897,000","1,225,000","498,000","727,000",
="060212","綠悅元大6B購03  ","0","0","0","792,000","67,000","725,000","792,000","67,000","725,000",
"2344  ","華邦電          ","7,000","91,000","-84,000","1,231,000","423,000","808,000","1,238,000","514,000","724,000",
="08723P","奇力新元大71售01","0","0","0","850,000","127,000","723,000","850,000","127,000","723,000",
="057538","群電元大69購01  ","0","0","0","1,106,000","386,000","720,000","1,106,000","386,000","720,000",
="061781","臻鼎兆豐71購01  ","0","0","0","1,256,000","545,000","711,000","1,256,000","545,000","711,000",
="057831","百和群益69購02  ","0","0","0","701,000","0","701,000","701,000","0","701,000",
="061415","聯發科富邦71購06","0","0","0","747,000","60,000","687,000","747,000","60,000","687,000",
="059284","聯電永昌6A購01  ","0","0","0","685,000","0","685,000","685,000","0","685,000",
="061139","中石化國票71購01","0","0","0","694,000","10,000","684,000","694,000","10,000","684,000",
="060943","東聯元大6C購01  ","0","0","0","820,000","139,000","681,000","820,000","139,000","681,000",
="055941","儒鴻元富69購01  ","0","0","0","770,000","94,000","676,000","770,000","94,000","676,000",
="057682","聚陽統一71購01  ","0","0","0","1,031,000","355,000","676,000","1,031,000","355,000","676,000",
="058357","潤泰全凱基69購01","0","0","0","668,000","0","668,000","668,000","0","668,000",
="059185","超眾群益6B購01  ","0","0","0","837,000","169,000","668,000","837,000","169,000","668,000",
="061984","群創凱基6C購01  ","0","0","0","768,000","100,000","668,000","768,000","100,000","668,000",
="062017","友達永豐6C購02  ","0","0","0","963,000","295,000","668,000","963,000","295,000","668,000",
="054400","友達兆豐67購01  ","0","0","0","660,000","0","660,000","660,000","0","660,000",
="061854","台積電元大6C購09","0","0","0","1,106,000","449,000","657,000","1,106,000","449,000","657,000",
="062044","鴻海群益72購05  ","0","0","0","1,116,000","463,000","653,000","1,116,000","463,000","653,000",
="056291","和大日盛69購01  ","0","0","0","650,000","0","650,000","650,000","0","650,000",
="061131","臺股指元富71購01","0","0","0","660,000","14,000","646,000","660,000","14,000","646,000",
="056935","和大統一6B購01  ","0","0","0","900,000","257,000","643,000","900,000","257,000","643,000",
="057460","儒鴻兆豐69購01  ","0","0","0","653,000","10,000","643,000","653,000","10,000","643,000",
="060588","聚陽國泰6B購01  ","0","0","0","1,083,000","443,000","640,000","1,083,000","443,000","640,000",
="03946P","鎧勝元大6C售03  ","0","0","0","685,000","47,000","638,000","685,000","47,000","638,000",
="061243","新日興元大6C購02","0","0","0","662,000","26,000","636,000","662,000","26,000","636,000",
="057037","日月光永豐68購01","0","0","0","698,000","66,000","632,000","698,000","66,000","632,000",
="062175","群創凱基6C購05  ","0","0","0","629,000","0","629,000","629,000","0","629,000",
="056589","群創群益68購04  ","0","0","0","1,717,000","1,091,000","626,000","1,717,000","1,091,000","626,000",
="08330P","聯電凱基69售02  ","0","0","0","1,565,000","940,000","625,000","1,565,000","940,000","625,000",
="04114P","聯電中信72售02  ","0","0","0","759,000","135,000","624,000","759,000","135,000","624,000",
="062016","英業達永豐6C購01","0","0","0","654,000","30,000","624,000","654,000","30,000","624,000",
"1909  ","榮成            ","257,000","100,000","157,000","882,000","415,000","467,000","1,139,000","515,000","624,000",
="060021","英業達國泰6B購01","0","0","0","810,000","189,000","621,000","810,000","189,000","621,000",
="058373","潤泰全永豐69購01","0","0","0","670,000","50,000","620,000","670,000","50,000","620,000",
="058378","元石油元大69購01","0","0","0","621,000","4,000","617,000","621,000","4,000","617,000",
="061075","新日興國票71購01","0","0","0","617,000","0","617,000","617,000","0","617,000",
="08727P","廣宇元大6A售03  ","0","0","0","754,000","139,000","615,000","754,000","139,000","615,000",
="061555","友訊凱基6C購01  ","0","0","0","613,000","0","613,000","613,000","0","613,000",
="061434","聚陽永豐6C購01  ","0","0","0","611,000","4,000","607,000","611,000","4,000","607,000",
="057563","宏達電元大6A購01","0","0","0","1,318,000","714,000","604,000","1,318,000","714,000","604,000",
="061635","智邦元大6C購02  ","0","0","0","687,000","83,000","604,000","687,000","83,000","604,000",
="061926","綠悅日盛6C購01  ","0","0","0","675,000","71,000","604,000","675,000","71,000","604,000",
="058504","潤泰全元大6A購02","0","0","0","600,000","0","600,000","600,000","0","600,000",
="08489P","GIS兆豐6A售02   ","0","0","0","600,000","0","600,000","600,000","0","600,000",
="057334","和大日盛68購03  ","0","0","0","999,000","400,000","599,000","999,000","400,000","599,000",
="057425","滬深2X富邦6A購01","0","0","0","599,000","0","599,000","599,000","0","599,000",
="057613","上銀統一6A購01  ","0","0","0","747,000","150,000","597,000","747,000","150,000","597,000",
="061985","群創凱基6C購02  ","0","0","0","895,000","300,000","595,000","895,000","300,000","595,000",
="059513","永冠統一6A購01  ","0","0","0","644,000","50,000","594,000","644,000","50,000","594,000",
="061674","綠悅元大6C購03  ","0","0","0","640,000","47,000","593,000","640,000","47,000","593,000",
="062282","儒鴻統一71購03  ","0","0","0","1,387,000","795,000","592,000","1,387,000","795,000","592,000",
="058557","新日興元大6B購02","0","0","0","1,034,000","449,000","585,000","1,034,000","449,000","585,000",
="060883","新興永豐6B購01  ","0","0","0","1,154,000","571,000","583,000","1,154,000","571,000","583,000",
"1504  ","東元            ","581,000","0","581,000","0","0","0","581,000","0","581,000",
="03631P","寶滬深元大6C售02","0","0","0","580,000","0","580,000","580,000","0","580,000",
="061906","大立光元大6C購03","0","0","0","809,000","231,000","578,000","809,000","231,000","578,000",
="060946","新日興元大6C購01","0","0","0","821,000","244,000","577,000","821,000","244,000","577,000",
="062172","可成凱基6C購07  ","0","0","0","631,000","54,000","577,000","631,000","54,000","577,000",
="055052","正新元富69購01  ","0","0","0","572,000","0","572,000","572,000","0","572,000",
="058719","富邦金國票6B購01","0","0","0","1,142,000","571,000","571,000","1,142,000","571,000","571,000",
="061018","南茂元富6C購02  ","0","0","0","877,000","307,000","570,000","877,000","307,000","570,000",
="03421P","貿聯國泰6B售04  ","0","0","0","568,000","0","568,000","568,000","0","568,000",
="059397","東陽元大6A購02  ","0","0","0","1,926,000","1,358,000","568,000","1,926,000","1,358,000","568,000",
="061336","聯發科統一71購03","0","0","0","569,000","1,000","568,000","569,000","1,000","568,000",
"9939  ","宏全            ","0","15,000","-15,000","612,000","32,000","580,000","612,000","47,000","565,000",
="055214","億豐元大69購02  ","0","0","0","653,000","96,000","557,000","653,000","96,000","557,000",
="061227","聚陽兆豐6C購01  ","0","0","0","701,000","144,000","557,000","701,000","144,000","557,000",
"2317  ","鴻海            ","1,051,000","945,000","106,000","913,000","462,000","451,000","1,964,000","1,407,000","557,000",
="060733","元油2X國泰6C購01","0","0","0","555,000","0","555,000","555,000","0","555,000",
="055120","寶成永豐67購01  ","0","0","0","554,000","0","554,000","554,000","0","554,000",
="060383","新日興凱基6B購01","0","0","0","727,000","173,000","554,000","727,000","173,000","554,000",
="059699","榮成元大6A購02  ","0","0","0","1,015,000","462,000","553,000","1,015,000","462,000","553,000",
="059433","晶豪科國泰6C購01","0","0","0","548,000","0","548,000","548,000","0","548,000",
="060293","潤泰全元大6B購01","0","0","0","1,039,000","491,000","548,000","1,039,000","491,000","548,000",
="03790P","儒鴻元大6C售02  ","0","0","0","620,000","74,000","546,000","620,000","74,000","546,000",
="061610","可成凱基6C購05  ","0","0","0","789,000","244,000","545,000","789,000","244,000","545,000",
="061648","大成群益6C購01  ","0","0","0","957,000","413,000","544,000","957,000","413,000","544,000",
="062126","聯發科康和6C購01","0","0","0","622,000","80,000","542,000","622,000","80,000","542,000",
="061869","南茂國泰72購01  ","0","0","0","661,000","120,000","541,000","661,000","120,000","541,000",
="059036","富邦金元大6B購02","0","0","0","601,000","61,000","540,000","601,000","61,000","540,000",
="08755P","亞光元富6B售01  ","0","0","0","545,000","5,000","540,000","545,000","5,000","540,000",
="059718","群創統一6B購01  ","0","0","0","539,000","0","539,000","539,000","0","539,000",
="060738","聚陽日盛6B購01  ","0","0","0","539,000","0","539,000","539,000","0","539,000",
="03701P","台積電兆豐71售04","0","0","0","938,000","401,000","537,000","938,000","401,000","537,000",
="059419","富邦金日盛6A購02","0","0","0","654,000","118,000","536,000","654,000","118,000","536,000",
"4904  ","遠傳            ","658,000","118,000","540,000","0","4,000","-4,000","658,000","122,000","536,000",
="03005P","義隆元大6A售01  ","0","0","0","555,000","20,000","535,000","555,000","20,000","535,000",
="059351","國泰金群益6A購01","0","0","0","640,000","106,000","534,000","640,000","106,000","534,000",
="059563","華新科日盛6A購01","0","0","0","650,000","116,000","534,000","650,000","116,000","534,000",
="057139","富邦金亞東69購02","0","0","0","1,351,000","821,000","530,000","1,351,000","821,000","530,000",
"2601  ","益航            ","531,000","1,000","530,000","0","0","0","531,000","1,000","530,000",
="08707P","國碩元大71售01  ","0","0","0","559,000","30,000","529,000","559,000","30,000","529,000",
="058820","乙盛元富6A購01  ","0","0","0","613,000","85,000","528,000","613,000","85,000","528,000",
="061095","國喬凱基6C購01  ","0","0","0","985,000","457,000","528,000","985,000","457,000","528,000",
="08619P","貿聯凱基6A售01  ","0","0","0","527,000","0","527,000","527,000","0","527,000",
"1905  ","華紙            ","179,000","0","179,000","348,000","0","348,000","527,000","0","527,000",
="058270","長榮國泰69購01  ","0","0","0","822,000","297,000","525,000","822,000","297,000","525,000",
="060052","元油2X國泰6B購01","0","0","0","605,000","80,000","525,000","605,000","80,000","525,000",
="059728","百和凱基6B購02  ","0","0","0","1,337,000","813,000","524,000","1,337,000","813,000","524,000",
="03969P","廣宇元大72售04  ","0","0","0","622,000","99,000","523,000","622,000","99,000","523,000",
="055704","英業達元富68購01","0","0","0","523,000","0","523,000","523,000","0","523,000",
="057145","利勤元大68購02  ","0","0","0","620,000","100,000","520,000","620,000","100,000","520,000",
